若到江南赶上春嘉兴乌镇西栅: 江南美景,赶上春嘉兴
魅友质疑魅族20品控不行，你们觉得究竟哪个更回复更官方？问老万有人带节奏，有问题马上换新！问客服是正常现象，请您放心使用！: 魅友质疑客服回复
魅族20和魅族20今天又给版本刷新了一遍，版本号没有变化，更新信息也只是优化，固件4多。但是感觉这两个版本更新完之后，感觉舒服了不少。正在纠结是换魅族20还是魅族20当主力机呢？真烦恼。: 魅族20和魅族20,更新后舒服,纠结换机还是当主力机。
想要玩的开心玩得爽，好用的游戏外设一定是少不了的。每个人对于外设的体验不同、手感不同，如果能像键盘一样客制化你的外设，那体验起来一定会非常不错。: 游戏外设客制化体验好
分享几张最近用6在夜间拍的照片，不得不说，这手机拍照真心顺手，每一颗摄像头都能发挥出自己的作用，无论哪个焦段都能较好地出片，尤其暗光长焦有很大惊喜（图中大部分是6拍摄）大家觉得如何？: 6在夜间拍摄,效果不错,暗光长焦有惊喜。
听说你在纠结奔驰，我给你全部安排！蒙蒙同学冤种哥: 安排安排蒙蒙同学冤种哥
我觉得应该统一配悬吊式油门踏板，毕竟悬吊式油门踏板更舒服: 呼吁统一配悬吊式油门踏板
祝福战损宝马4，大结局！: 祝福战损宝马4
你们说说5年后的汽车还有可能是什么样？: 预测5年后汽车
我以为是买车就买断的服务，不知不觉这车也快三年了: 买断的服务,车也快三年了。
马自达90开启豪华的新篇章[喵喵]发动机33发动机48系统调教的很棒，可以给绝对好评。兼顾了高级感，响应和强劲。油门非常跟脚，涡轮迟滞很轻微。充沛的动力从起步一直去到6500转也没有可感知的衰减。温柔开发动机配合电机动力输出很安静平顺，存在感不强。但是急加速时车厢里能明显听到直六发动机澎湃的声浪，能激起我的驾驶欲望。不过这款发动机在急加速的运转品质和标杆宝马58比还是有点差距。高低功率差了60匹，总的来说调教取向差不多，只是低功率款的增压值调低了。高功率的中段加速还是明显更强一点的，如果是我肯定会选择高功率的。变速箱这款8是马自达自己研发的，主要的特点是采用了极其紧凑的行星齿轮组，和用一套湿式离合取代了传统的液力变矩器来节约空间。90在塞车走走停停的时候会有轻微的闯动和拉扯感，类似离合器结合的感觉，塞在坡上的时候感受更明显，我个人感觉还可以接受。不过速度起来以后则是又快又顺，降档也很精准。手动模式不好用，忽略即可。总的来说中评吧，身为一台马自达，在塞车工况没能做到绝对平顺我表示不满意。刹车很自然线性，踏板阻尼比较硬但是非常好掌控，很能给驾驶者信心。转向操控转向锐利谈不上，属于那种自然精准的风格，比自家的50稍微轻一点。高速阻尼和回正的增益都很线性。转弯半径很小，城市里开掉头泊位很灵活。优秀的转向配合上极好的侧倾以及车身姿态控制，这车激烈过弯也一点问题都没有。直6发动机离防火墙特别近，就算很快的过弯也没有车头很沉和推头的感觉，整个过弯感受一直很优雅行云流水。操控和动态高级感对于22吨车重的7座来说满分好评，算是这个级别唯一一款有一点驾驶乐趣的车。隔音滤震隔音我觉得很不错，明显比汉兰达探险者这种更好，达到了豪华车的水平。滤震我觉得也不错，就算是21寸的薄胎，各种大小振动的过滤和处理都很得体。底盘属于扎实稳健的风格，并非一味的软，还是保留了一点路感给驾驶员的。内饰车内视野不错。用料做工都非常优秀，达到了豪华车的水平。日本生产，新车一点异味都没有。123英寸车机很好用。搭载的音响刻意加强了低音和高音。大部分人听可能都会觉得很惊艳，但我稍微有点做作。环绕感很强，整体效果很不错，和下游的搭载音响马自达其他车型相比有明显提升。空间舒适前排乘坐体验好评。第二排体验也不错，只是座椅有点硬。第三排不好。虽然头部空间谜之得体，低于17米的话头部空间完全够用，18米的乘客在第三排头发也只是会扫到车顶。但是腿部空间不好，得要第二排乘客把座椅挪到最前我才能获得3指的腿部空间。坐垫很硬而且离地板特别近，跟坐小板凳一样，这个级别日常。使用第三排之后，后备箱的空间就比较小了，乘坐7人行李出去旅行很勉强。油耗新发动机燃效很高，公布的油耗测试结果为城市98，高速。我自己试了试高速105巡航大概。而且加低标号燃油也可以，使用成本很低。总结试驾前我对90满怀期待，主要原因也是因为纵置涡轮直六后驱平台前双叉臂后多连杆48轻混湿式离合8。叠满了，键盘值。实际表现虽然不算特别完美但也非常可圈可点。豪华的车厢，强劲的动力和优秀的驾驶和乘坐感受使它在普通品牌7座这个级别中，产品力独树一帜，是一款很适合自己开的三排座。顶配62万我觉得贵了。好在这车46万美元的售价跨度很大。我觉得如果能去掉一些不必要的配置，51万美金能拿下高功率的话这车还是很具性价比的。我给910。恳请马自达，靠把钱赚够了别忘记出直六后驱的运动车。最后简单的说一下90和探险者30的对比虽然同为后驱平台六缸增压但无可比性。探险者从外观内饰再到驾驶乘坐感受都是由内到外的糙，感觉是为北美公车和租赁公司设计的，做的很烂的一款车。: 马自达90内饰舒适舒适,性能可与宝马车媲美,配备高功率发动机和变速箱。
李斌最近再次回应特斯拉降价我们蔚来肯定不参与价格战，我们毛利率挺低了也参加不了。李斌说，特斯拉和3是光板车，你坐进去感觉还不如比亚迪的车。蔚来的老板说特斯拉，为什么要拉上比亚迪呢？: 李斌回应特斯拉降价,蔚来不参与价格战。
网友比亚迪合肥工厂的工资条，这样的工资即使放在北上广深这样的一线城市，也属于中等水平了吧！已经超过大部分人的工资了，应该没人再说比亚迪工资低了吧？: 比亚迪合肥工厂工资低
数码博主是因为车圈赚钱才搞车的吗？我见无数汽车博主说过这句话，作为一名老牌数码博主，我今天拿我自己举例来给大家分析一下。哥最早的两个都是给蔚来拍的，小鹏7哥三年前就拍了，广汽埃安，零跑，名爵，魏牌，长安新能源等等也都是哥决定搞车之前就拍过。。。其实这并不像很多汽车博主说的那样，因为车圈钱多，然后很多人就突然跳进来了。这中间是一个自然而然的过度，新能源汽车的车机智能化，厂商希望寻找数码博主，数码博主也特别喜欢研究这种大屏智能机，这本身就是一种相辅相成的过程。我不知道为啥很多人会想到钱上，我自己从来没考虑过这个问题，哥的钱也早在六七年前就赚得够用了。而且哥基本上是在烧钱买车，真的是兴趣在支撑，纯属喜欢，没考虑过赚还是赔的问题。最后还是那句话，哥现在啥也不缺，除了买劳斯莱斯这类超豪会心疼，普通豪车只要喜欢基本上随便买。我根本就没指望靠这个发财，可能车圈很多人还太年轻，没到哥这境界，很多东西其实是钱买不来的。。。。: 车牌博主因车圈赚钱,喜欢研究大屏智能机,很少考虑赚钱。
送给新员工的礼物非常幸运能够遇到一个氛围超级好的公司从现在就开始期待与长安马自达的正式见面了！！: 期待与长安马自达见面
新款宝马5系目前已经进入了路试，相信在今年内应该有望发布。外观像7系，要是再降点价应该能挽回不少市场。: 宝马5系路试即将发布,外观像7系,再降价或挽回市场。
奇瑞汽车@奇瑞汽车[送花花][送花花]: 奇瑞汽车与奇瑞汽车合作推出新车
听得懂粤语再进来，我真的是笑翻了比亚迪办这个活动真的是这样搞不太好[笑]: 比亚迪办粤语活动,让人笑翻。
终于成为了真正的第一次在家乡开上自己车的喜悦极速拍档: 第一次自驾拍车,感受极速拍档。
比亚迪海豹刚拿到了央视中国汽车风云盛典最高奖——评委会大奖，能拿这个奖说明这款车跟其他车不一样，哪里不一样？大智简单聊几句。一是好看，国产车中少有的原创设计，造型、线条、姿态，都是运动风格，所有设计元素都是年轻的、充满活力的，不管从哪个角度看都很漂亮，是为追求个性、积极向上的年轻人打造的一款车。艾格不愧是世界级大师，他操刀的每款车都是如此的与众不同。二是空间性能，海豹4800车长，做到了2920的轴距，搭配后驱四驱动力架构，真正做到了乘坐舒适又有极佳操控，在性能电动车行列鹤立鸡群。三是自研技术加持，海豹是平台30首发车型，平台30是比亚迪倾注大量心血打造的纯电动平台，之前的文章有过详细介绍，感兴趣可以翻看。海豹拿下四大首发，首搭电池车身一体化技术、首搭智能扭矩控制技术、首搭后驱四驱动力架构、首搭前叉臂后五连杆悬架，平台30也让海豹的安全级别达到了豪华程度。可以说比亚迪最新最先进的量产技术都被注入到了海豹身上，业界唯一。最后，作为比亚迪新能源车中的高端旗舰，海豹外观凌厉运动，内里用料扎实，核心科技加持，高端品质由内而外，广受认可，目前累计销量已超7万辆。说的再多不如大家亲自去体验，试乘试驾后才能理解一款车究竟高端在哪，高端值不值，最近海豹的活动也不少，准备入手新车的同学不妨试试。[奋斗]: 比亚迪海豹获得汽车风云盛典最高奖,销量已超7万辆,外观凌厉,性能出色。海豹平台30首发车型设计出色,为追求个性,值得关注。
牧马人卢比肯4真是一个好车，电机和266马力发动机一起，劲儿爆大，17度电池在持续爬坡中也足够了。比较好的是，去越野路上，哪怕你低电量，但高速中你可以选用发动机剩余功率充电，到了越野目的地也有个5060电了，足够爬坡了。因为有电池电机加持，城里开明显比汽油牧马人更平顺、安静、响应快。因为本身舒服外加最硬攀爬能力好，所以攀爬类苦活儿探路和拍摄，同事最爱这个车了。其实，没快充都无所谓，唯一唯一就是没外放电，这个太让我不爽了，到了目的地想火锅烧烤，看看那17度电池用不上，窝囊啊。尽早觉醒。: 牧马人卢比肯4电池足够爬坡,到目的地想火锅烧烤。
听说哪吒造跑车了，我腆着大厚脸皮冒充专业人士去看了下，没想到光看到了几张渲染图，实车怎么样也没看到，只能等等看了。品牌这种玩法可真是吊人胃口啊，难受: 冒充专业人士看了跑车渲染图,但品牌玩法吊人胃口。
那些昨天冲到我评论区对网暴我的同学，大概率没看过这篇文章。来，写于2021年1月26日，特斯拉取消低动能回收一周后，截图是文章最后一个小节。在当时，关于这一节我和一位特斯拉高管有重大分歧，但这也没有影响我们后续继续就其他事项保持沟通。（注特斯拉取消低动能回收，这和单踏板是完全独立的两件事，许多没开过特斯拉的人尬黑了好几年依然不明所以。）不仅关注纯电，我对增程和换电兴趣都挺大的，写那么多辅助驾驶的分析，因为我花了足够多的时间研究视觉、高精地图和之间的关系。我还在做一个课件，其中一节在汇总特斯拉截至目前出现的大大小小各种问题，希望借此抽象出特斯拉潜在的，真正的短板。网友喜欢走极端，非黑即白，以前我也这样，可慢慢的我越来越喜欢求同存异。因为往往现实世界不是非黑即白的，少情绪，多事实。事实不以人的情绪为转移，你基于事实做分析，事实自动站在你这一边。: 讨论特斯拉取消低动能回收一事,关注纯电和增程和换电兴趣挺大的分析。关注视觉、高精地图和模糊的特斯拉潜在短板。
阿维塔这个车其实拥有个性的，怎么就卖不动呢？: 个性的车卖不动
回北京了！到了机场就开上了这辆粉色的5，太好看了，让我拥有它一会儿！还收到了的邀请函和新机，4月3号就是发布会了！今天是三月的最后一天，完美收尾！四月冲！[加油]北京北京大兴国际机场: 北京机场开上粉色的5,收到邀请函和新机,完美收尾。
我脑袋是信号放大器，竟然能解锁车。（叶文洁老师当年不对太阳，对我脑袋怼一下，是不是三体人也能收到）: 信号放大器解锁车
大嘴今天声音低沉地像参加葬礼华为原来有三个合作伙伴，现在只剩一个了。: 华为合作伙伴锐减
警用版陆巡8！配当地生产的可靠越野车，的确也没毛病（完，我忘了这车和霸道一样，虽然是一汽，但其实是四川产的了）（再次勘误一下，我一开始其实说对了，这车虽然是四川丰田产的，但不是在四川产的，是在长春）: 警用版陆巡8非四川产
岚图汽车@岚图汽车宝儿，车子卖不出去要想想产品力够不够，定价合不合理。恶意营销和造谣只会拉低自己的身份，不会让销量提升的，记住了吗？比亚迪新闻打假办公室@比亚迪新闻打假办公室腾势汽车@腾势汽车: 岚图汽车宝儿回应恶意营销和造谣报道。
什么停车鬼才（而且车里没人，这就算停完了）: 停车鬼才
今天上午试了小鹏最新的，简单来说，小鹏的智能驾驶技术进化到目前阶段堪称伟大。在上海的封闭和开放道路结合的试驾过程中，已经基本可以做到20公里的路线完全不需要人干预，各种变道超车非常娴熟，结合地图，人在车里面像开了天眼，可以扫过周围几十米内的动态静态物体。如果说缺点的话，这是在跟人类繁衍上万年基因里带的对将生命交给智能驾驶的一种恐惧感抗争。很多情况下我不愿意把方向盘交给自动驾驶，即使它做的很好。: 小鹏智能驾驶技术进化到伟大,在上海试驾过程中基本可以做到20公里路线,不需人干预。
当年广州本田雅阁推出时一车难求，媒体做的一份很有意思的调查，提现车都是明码加价，甚至加到398提车，还是当年的钱好挣啊！: 广州本田雅阁推出时一车难求,明码加价提车还是好挣。
教你一招，杜绝开门杀重庆: 教你一招杜绝开门杀重庆
蔚来的设计，奔驰的内饰，飞凡的价格！: 蔚来设计奔驰内饰,售价1万元
试驾车从问界到问界涂装，马上又得改回问界，车还是那部车，买车的时候你会介意贴的是什么标吗？: 试驾问界涂装
理想汽车的交付量已经卷到了周交付，一周6000台的确有点厉害。: 理想汽车交付量已经卷到周交付
2023年3月份弯弯汽车市场销售报告（电动车）: 2023年3月弯弯汽车市场销售报告
特斯拉和全系降5000美元，约35万元人民币马斯克回应特斯拉降价很多人有需求但买不起，降价能满足需求好多缺钱的小年轻想买3，目前卖2299万，什么时候降到1499万满足一下他们需求: 马斯克回应特斯拉降价:有需求但买不起,降价满足需求。
魏牌这波蓝山的预订着实让人惊喜，蓝山颜值不必多说，一眼就很有个性与特色，识别度极高。在多模交互、地图导航、影音娱乐、生态服务、场景引擎等方面实现了全面进化。现在预订，99元就能享受21英寸轮毂及静音胎等价值万元礼包，科技控现在也能买大六座了。: 蓝牌酒店预订惊喜,提供多模交互、地图导航等特色,科技控可买大六座。
年初我和比亚迪高层对话，当时确实说过无人驾驶是一个伪命题此类的观点。各位觉得无人驾驶是刚需吗？[微笑][微笑][微笑]: 比亚迪高层否认无人驾驶是伪命题
全面提升新款奔驰迈巴赫官图 4月4日，新款奔驰、新款迈巴赫及新款634官图发布。新款奔驰在设计、科技与越野性能等方面再度提升。全面提升新款奔驰迈巴赫官图: 新款奔驰迈巴赫官图发布
韩国人接受不了，韩系车正在中国沦为二流品牌？今天看到，韩媒突发感叹，韩系汽车在中国市场的影响力下降，令他们痛心。不知道大家有没有发现，现在马路上的韩系车明显比三四年前要少了。这也是有数据印证的，现代汽车集团，现代起亚在中国市场的份额一度超过10，但如今仅剩下17。2022年，现代和起亚加起来只卖了35万辆汽车，分开来看，现代25万辆，起亚已不到10万。要知道，10万辆是一个进口汽车品牌在中国市场维持的最后防线。为什么韩系车突然卖不动了？从2020年的75万辆，到2022年的35万辆，只用了两年时间。仔细来看，这两年正是中国新能源发展加速的两年。来看一组数据，去年，国产比亚迪卖出了超180万辆汽车。而就在刚刚过去的2月，比亚迪又卖出了近20万辆。一个国产汽车，一个月能卖近20万辆，这是以前我们难以想象的数字。也就是说，韩系车卖不动了，不是大家不买车了，而是大家开始转向了国产。除了比亚迪，吉利、长安、广汽等国产汽车都迎来了一波猛增。而这样的现象，在手机领域也非常相似。曾经风靡国内市场的韩国三星，如今在中国市场的份额已不足1。鞋服领域，曾风靡国内市场的阿迪耐克，如今正被安踏李宁逐渐赶超。数据显示，过去一年，华为小米、安踏李宁分别在京东和唯品会上迎来倍数级增长，且背后很大一块正是90后年轻人。中国年轻人正变得愈发自信，这就是直接体现。今天，韩媒感叹令人痛心，其实韩系汽车的下滑并不意外，因为无论是起亚还是现代，它们在新能源上的反应确实慢了一拍。就像日系汽车一样，认为过去燃油发动机的领先，就故步自封。它们都忽视了，正埋头自主研发的中国汽车，正变得越来越自信的中国消费者！: 韩国汽车在中国市场地位下降,但韩国三星在华市场份额已不足1。
白色珍珠漆，红白双拼内饰，右舵，选配了蓝牙及导航。2008年交付给一名英国超跑收藏家。很长一段时间，由英国车商保管，所有权改变了几次，但车辆并未移动。前几年，这辆车数次现身，2019年，美国，还在美国的呆了一段时间。回到英国后，再次销声匿迹。直到刚刚，帕加尼藏家@宣布购入，也是他的第4辆。: 英国超跑收藏家购买第4辆白色跑车,拥有蓝牙及导航,曾数次现身,后销声匿迹。
为什么停车场要按颜色和车型分区域停放？: 停车场按颜色和车型分区域停放?
给大家感受一下我的阿维塔11车机升级到110版本，新增加的遥控泊车辅助，震惊到我了吴小杰: 阿维塔11车机升级110版本,新增遥控泊车辅助
嗨！理想8！带你回家！跟我媳妇的奶爸车！广州理想汽车广州交付中心: 理想8带你回家,奶爸车交付中心
在外面跑了一周，回来广州又下了一周的雨，现在车已经这样了想去洗车，但是呢，接下来一周又是雨怎么办啊广州: 下周广州又要下雨了
春暖花开，和探险者一起去感受春天的气息去年上半年宅在家的时候，还在和朋友开玩笑，说一人买一辆大型，带上各自的家人组队出游去。没想到去年下半年，我朋友就买了一款，并对我说老弟，哥哥已经实现了，就看你的哦想着人生苦短，买就买吧，因为谁也说不清明天和意外谁先来临。刚开始，我也考虑过其他很多车型，全尺寸的空间没说的，内部空间非常大。不过有些车的价格还是贵了些，而且内饰有点点简陋，需要后期升级改装，才能满足家人的个性美。选来选去就只有全新福特探险者最合心意，空间大小刚好，23的动力也够用，最重要的是车内的音响能满足老婆挑剔的耳朵。作为歌唱达人的她，特别喜欢优美的歌曲，说一般听歌，不要去听那些乱七八糟的啊，电音啊，要听就听人声，只有人声为主的歌曲才是最有表现力的，所以她很喜欢这台音响的表现，感觉就是为她而生。价格方面，不管我怎么讲价，怎么说，就是没有优惠。不过其他车型老婆和家人都不是很喜欢，没办法，最后就依了家人的。现在春暖花开，到处都是一片暖洋洋的气氛，所以带爱车出来拍拍照。老婆喜欢的音响，说这套音响的优势在于解析力强，能够真实的还原声音，做到身临其境的感觉。有时候她还会听交响乐等演唱会，说现在在车上也能找到这种感觉了。喇叭均匀的分布在车内各个位置，每次听歌时，老婆都特别享受。刚开始我不是很了解探险者，后面发现实际表现的确如销售说的那样，纵置后驱的的确好开，不仅转弯轻松，而且车身要比朋友的车型灵活多了，他的像大象转身，我的像猴子爬树，两个车完全是两种驾驶乐趣。车内空间挺好的，三排都能坐大人，放倒第三排后，就变成了临时休息的场所。朋友说他的车车能躺着睡觉，我觉得我们的探险者也可以。最重要的是，加速快，操控灵活，78秒的加速，以及百公里10左右的油耗，这都是他的车车所不能比的。提车后感觉没什么地方可以改装的，中控有27英寸高清4巨幅横屏，座椅是电动的带按摩功能，后排也有独立空调，还有360度全景影像，全景天窗等等，非常完美。最后说说我感触最大的地方吧，就是感觉探险者的智能化程度非常高，以前的智能驾驶仅仅提供一定的定速巡航，自适应巡航，现在是全速的自适应巡航，一直保持在车内到正常行驶。有次我就遇到了突发情况，看到前面有行人横穿马路，我自己还来得及反应，眼看就要碰到了，还好原车的主动刹车功能起了作用，第一时间刹住了车。加上听说升级最新的车路协同功能后，连红绿灯也能自动辨识，所以无论是市区代步，还是高速行驶，这车都能给我们满满的安全感。现在朋友还有点后悔，说当初要是也买探险者就好了，可惜世上没有后悔药哦，不过我俩可以经常换车开，好朋友嘛，友情是一辈子的！: 感受春天的气息,福特探险者车内音响出色,适合家庭用车和私人定制。
经常有人问，理想能不能出小点的车啊，为什么不出个小或小轿车？为什么越造越大？大家可以想一下，为什么宝马3系、5系几乎都带，5国产带，奔驰级级级都有版，连都有了，奥迪468都带，连5也了。主力车型在国外要么没有版，要么主卖标轴，国产后就蹭蹭蹭的加长。很多人说长轴距版开起来不如标轴版，我跟一些爱车人士聊过，个别人甚至痛恨加长版，害得我买不到标轴版了。但市场表现让无数车企趋之若鹜的加长。原因是什么？肯定是中国人的用车场景有些不同，后排的上座率远高于欧美市场，绝大多数中国人买车时会考虑家人的乘坐需求，而不是只注重驾控感受。因为中国的家庭，三代同堂的情况是更多的。这就是家庭用车的需求，大是一切的基础，够大才能一家人其乐融融，够大才能堆配置保证全家舒适出行，冰箱彩电空调沙发，腿拖小桌板通风按摩都需要占空间。大所带来的不便可以接受。之前很多业内人士预测理想9这种全尺寸，销量也就看齐奔驰，一个月撑死了两三千辆，倒也不是说这些业内人士不专业，可能他们家里估计也就一两个人吧，不了解家庭用车需求。: 车型越造越大,市场表现让车企趋之若鹜。中国家庭用车需求大,主力车型需求丰富。
雷克萨斯400千禧版，配件车现在已经被拆成了车篓子，前后挡风玻璃都在，发动机变速箱也都在，可卖。我那台雷克萨斯400已经彻底修好了，美滋滋，这个配件车已经做出了它应有的贡献，是时候把它送到更需要它的人手里，继续去发光发热了。康忙，有需要的朋友联系我。北京中古匠人: 雷克萨斯400千禧版配件车拆成车篓
今天决赛有中午12点开始的赛前节目，大家别忘了来看: 赛前节目介绍
后续菲姐给小宝做了一个加长版的项链: 菲姐给小宝做加长版项链
这赛季真的没有想到能走到这里，从赛季前半段的34开局输给到五连胜赢下京东，季后赛连斩滔搏和李宁，在仅更换辅助和教练的情况下春季赛打进四强。虽然大家都知道的英雄池不算深，甚至是所有的解说和分析师都能预测到大致的阵容，但就是凭借团战和控龙敢打敢拼的勇气走到了这里，这赛季和进步很大，小奶油和山鸡英雄池休赛期练一练夏季赛再冲一冲吧！: 本赛季进步很大,英雄池休赛期练一冲。
可惜你不看，不懂这些怀揣梦想的少年！: 鼓励怀揣梦想的少年
狼妹的物料百宝袋 无论输赢都会时刻反省，时刻努力。希望你们的汗水和决心不会被辜负，希望你们的前方有鲜花万里。重庆狼队，缺一不可。狼队王者荣耀: 狼妹物料百宝袋,呼吁努力,重庆狼队需要王者荣耀。
是鸢策现代江东鸢大每年关注度最高的活动，几校的篮球联赛一定能算得上是一个毕竟看见一群身量高挑、朝气蓬勃的男生在球场上奔跑，随着抛起的篮球跃起时，跟着人群一起为了进球欢呼，感觉自己被繁重的课业和压进细胞里的青春终于重回高地。历届的联赛围观群众总是挤满了观众席，而今年则更甚。究其原因，占据了最好观众位的校报记者大概能噼里啪啦地给你说出个一二三来。一嘛，是今年的校队队长交接，换给了大三的体院的一个男生。二嘛，是这校队打了几场，多了个周遭几个学校都知道的19号明星球员三嘛，则是这位19号明星球员叫孙策，体院大三在读，校篮球队新队长，长得还挺帅只要跟着围观群众的眼神望过去，大概就能一眼看见这个视觉焦点简简单单的红白球衣，侧身接过队员抛来的球，一跃而起扣篮时令人惊叹的跳高和滞空能力显露无疑特别是高高跳起时绷直的手臂显露出的利落线条，还有身上那股介于蓬勃少年与成熟男人之间的明朗气质，看过校队几场球赛的人都说，新队长的笑有让人信服的力量你跟着姐妹看了会，发现这位偶然认识的学长，居然意外的靠谱。看着他在球场上像一阵来自盛夏的风一样热烈的样子，你没由来地想起了当时在话剧社被他妹妹抓壮丁来扮演少年将军，在舞台上一板一眼的念完台词，又在换下道具铠甲时被你撞见半裸上身的时候，他脸颊通红有些憨憨的样子。这样对比着来看，实在是有些反差的好笑。就像是威风凛凛狼犬，被一场名为心动的雨打的七零八落，默默抖着身上的水，还要小心不溅在你的身上。后来因为排练的缘故你们也见过几面，虽然和第一次见都有所不同，但始终没有这一次来的冲击更大。因为这里仿佛是他的主场。他好像天生属于这样热烈朝气的运动。侧身躲开对面的包抄，一个假动作后拉跃起，身体仿佛绷成了一张弓，球衣下摆随风而动，劲瘦的腰腹发力，完美的三分球抛出，篮球就连在框边打转的机会都没有，就划着弧线落了进去。球落哨响，队员们互相欢呼大吼着击掌，以大比分结束了上半场比赛。中场休息的时候新任队长被球员围在中间，跟教练一起讨论战术。剧烈的运动和身体碰撞让这群男生浑身都是汗，球衣黏在身上，好身材便更加清晰的显露出来。上半场队长的策略不错，教练也没什么好叮嘱的，只是例行加油打打气，就让大家趁机休息休息。诶诶。但总有人闲不下来，副队活动着手腕，朝孙策旁边挤了挤，诶诶，来了来了。什么？孙策还在想下半场的战术，一时间没反应过来。吕蒙眨了眨眼，掐着嗓子模仿了一下你在拿出《代号鸢》里的经典扮相，翘了个兰花指娇俏地在孙策身上打了一下，奴家——奴奴我看你嘴巴是不是闲不下孙策下意识一拐子捅了过去，兄弟间犯犯贱很正常，但下意识的，借着弯腰用球衣下摆擦汗的功夫顺着吕蒙的视线，侧头望了一眼观众席。某位篮球队长的动作瞬间定住了。说来奇怪，明明你也没有什么特别的表现，但好像在他眼里，你就是人群里熠熠生辉的存在。他一眼就看见了你，可你恰好把视线从他身上移走，津津有味地随着朋友的手指瞄起了对方球员，对面的队长仿佛要跟孙策打擂台一样，拿起一瓶矿泉水往头上浇，左右甩动发丝的时候，水珠顺着脖颈往下滑，精壮的肉体光是看着就觉得心情大好，你没忍住多看了两眼。看哪呢孙策侧过头啧了一声，透过拉开的衣领瞄了一眼自己的胸口，放下，然后又瞄了一眼，前两天还说鸢大像我身材这么好的也不多。察觉到自己在干什么，明星球员孙某瞬间回过神来，咳了一声放下衣服，拿过一瓶水仰头喝了一口，打算随便拉个人叮嘱一下早就说了八百遍的战术。但刚抬眼，就发现你正牢牢盯着他，甚至还像那天在话剧社后台，装模作样的做了个吹口哨的动作时，一口水差点哽在喉咙里。对视的视线一秒撇开，唇角溢出的矿泉水沿着下巴往下滑，又被手背蹭去。女流氓。哨声响，中场休息结束，几乎是刹那间赛场就又恢复了方才的热烈，两边的观众席为自己的球员欢呼呐喊。而只有校报新上任的小记者透过相机捕捉到了，那个眼尾眉梢都带着张扬肆意，勾着自信笑容，在对面的包抄中突围跃起，仿佛要扣碎篮板的19号校队队长，耳朵尖都红透了。: 校篮球队新队长孙策,在球场上表现不俗。
这个春天遗憾的话很有遗憾，我觉得我四个队友和教练春季赛都打得挺好的，我觉得我应该做多一点改变，夏季赛加油吧。季后赛看下来，真的很难不喜欢这支。看他们的比赛感受到了久违的热血。希望夏季赛他们能走更远吧。: 春天遗憾,期待夏季赛。
王者荣耀杨玉环这就是微博女王吗，销量这么差吗: 杨玉环微博销量差于杨玉环
元宝你是怎么做到的是个狠人: 宝宝斗狠人
狼队王者荣耀一个轮换会顶着多大的风险？直播看到这个镜头真的很心疼不管是偶然因素还是早有准备，这都是赛训组的选择，我们应该给与尊重而不是无端的谩骂记得现场有个男粉最后高喊老林牛逼我也觉得今天老林就是牛逼。: 直播心疼镜头,赛训组选择尊重,男粉高喊老林牛逼
其实很早前我就有了一句和贬低王者荣耀的人聊王者荣耀的万能句如果你觉得王者荣耀不是全世界最好的社交游戏，那么你觉得谁是？对方要么不回答，要么他的答案会暴露出他具有以下三个品质中的至少一个1他其实没玩过伟大的王者荣耀。2他在乎的不是游戏本身。3他对社交的可行性认知很粗浅。: 王者荣耀社交的可行性认知粗浅。
赛前海报 四月九日十七时密林深处传来声音向前奔跑吧势如破竹: 四月九日海报发布
真的非常棒，又往前拱一步，打下来的都是赚到的，比赛当中虽然还是有很多问题和失误，但是大家的个人能力弥补了这些，明天再有一次挑战的机会，大家好好复盘总结一下，再冲一口！加油加油！: 赛前总结,再冲一口。
大写的惨字！无论输赢请轻喷吧（开始经典暂停环节）: 遭遇惨字,请轻喷!
我觉得我那天那个的梗确实好适合陆景和啊，他会眼里含着笑意叼着看你艰难地自己动，嘴巴含着一颤一颤的，他甚至还会坏心眼地拿舌头顶，往你嘴里塞。等你快坚持不住了，咬断了，他就会扶着你的屁股揉两把，叼着半截咬的脆脆的，声音带着笑意姐姐这就坚持不住了吗？、啊好吧，看来真的是很辛苦呢，姐姐都累成这样了。他甚至还会让你平躺在床上，他撑在你的上方，叼一根新的在你的身上描摹，让的另一端划过你的锁骨、山峰引起一阵颤栗。他拿当画笔，在你的身体上作画，看你嘤咛颤抖的样子，语调上扬，声音是惯有的小鼻音，听起来特别性感姐姐这里好漂亮，看起来特别敏感呢: 陆景和的梗让人感动,他让你平躺在床上,叼着画笔在你的身上描摹,并划过你的锁骨和山峰。
我初次走退位诏书剧情我噢！是那个！十万火急最后一面要来力！（酝酿一下情绪）（然后在崇德殿门口跟士兵纠缠一小时）（接着跟李傕在门口疲惫撕耗一下午）（痛苦卡关）（打不过）（反复钻研）（继续和李傕激烈纠缠）（爬上爬下动用魔法）（大晚上终于鲨过去）刘辩（开始抒情）你来啦？我（2000）（风尘仆仆）（灰头土脸）（还在回味鲨鲨鲨）我（失忆）啊？: 退位诏书剧情介绍
会记得你的，再见啦[微风]洪洗象: 期待再见,洪洗象
群里看到的图哈哈哈哈哈哈小落像天祈祷回应他的只有清清大鹅: 群里小落祈祷回应,他只有清清大鹅。
针对田野被某解说上标签《河道练拳》看看别人抗吧老哥的发言，简直精辟！谁说厕所都是蛆？: 田野发言被指精辟
