在油菜花地里是不是更刺激！广州: 广州油菜花田刺激
苹果至今还没下场造车，很佩服最近几年下场造车企业的勇气。汽车，无人驾驶汽车，智能汽车汽车作为交通工具或是机器人，其本身价值都应该从硬件角度去思考，至于其改变世界的价值，属于汽车，和互联网，人工智能不一样，和电视机很像。即汽车本身并不能分享到汽车带来的价值，但它的价值会被手机分享。所以，华为应该在直接生产手机方面用力，而没必要直接生产汽车。: 苹果造车勇气值得敬佩,华为应直接生产汽车和人工智能造车。汽车和互联网和人工智能不一样,汽车和汽车不能分享汽车和手机和电视机一样。
方面的问题抛过来吧，来点有难度的挑战一下。: 问题抛过来,有难度的挑战。
模拟考考的我头晕目眩！60分就能考过！我总是在边缘徘徊，要做到连续5次80分以上我就稳了！加油！考不过就得给我大胖老公笑了[笑]等外卖中，吃完继续[干饭人][干饭人][干饭人]: 考过60分,加油,大胖老公笑了。
小伙伴们，注意听！[举手]君要奖一件酷酷的事儿！多款产品荣获2023年红点设计大奖的产品设计奖，并且这已经是连续第四年获得红点设计大奖啦！闪光的不止是颜值，快来跟随的步伐遇见一见倾心的美吧。点击下方图片看看哪款产品的设计亮点让你心动呢？快来评论区分享并捞一下队友吧！[开学季]: 多款产品连续第四年获得红点设计大奖,分享设计亮点,欢迎分享。
看我新装的远光灯今天阿螃说想去富士山下看樱花，就顺便开着小尼去林道玩耍2测试版还新支持了水印，真是与时俱进啊日本富士山河口湖: 远光灯测试版支持水印,支持日本富士山河口湖观樱。
每次来捷尼赛思门店的体验都很好，至今从未没遇到过让我有丁点儿难受或反感的销售，简单问了下，现在价格依旧稳定，嗯，对于捷尼赛思就应该这么干！现在大家都担心保值率，新车价格稳住就是保障，销量可以慢慢做，把路一步一步走稳，这感觉让人舒服。一会儿转一圈60去: 体验捷尼赛思门店,价格稳定,担心保值率。
我刚知道蔚来不能用普通的国标慢充桩充电，这踏马不是纯纯没有困难也要制造困难吗？保定涞源华中假日酒店: 蔚来不能用慢充桩充电,但踏马需要困难。
虽然全部车加起来可能还没有别人一台跑车贵，但看到这个画面真的很满足，甚至有点感动因为觉得自己的品味真好: 满足满足感,车价比跑车贵
玩家的6碳纤维套件23寸13三片式锻造轮毂细节上满满的金钱味战斗力值爆表: 玩家6碳纤维套件战斗力爆表
感谢邀请啦[哇]比亚迪中国之光深圳比亚迪股份有限公司(坪山总部): 比亚迪中国之光邀请函
云辇智能车身控制系统升维安全，无限可能赵长江: 云辇智能车身控制系统升维安全,可能赵长江。
全新福特锐界从上市以来，深爱广大消费者的喜爱，这款车外观设计时尚大气，视野开阔，空间大，特别是223的座椅布局，可在4座，5座、7座之间切换，灵活多变，后排座椅放倒后非常的宽敞，特别适合外出旅行和各种户外活动，可以睡觉，感觉像睡在家里面的床一样舒服！全新锐界的动力有燃油版和混动两种，燃油版是用的福特第五代20的发动机，混动版由20发动机和电机组成，最大功率275马力，扭矩405牛米，百公里加速71秒，油耗低至631，续航超1000公里！全液晶仪表盘搭配27寸中控车机大屏，整车拥有全新超大尺寸进气格栅和贯穿式的日间行车灯，车身线条流畅舒展！适合现代人的审美！: 全新福特锐界上市,外观时尚大气,空间宽敞,适合外出旅行和户外活动,动力有燃油版和混动和燃油版,续航超1000公里。
卧槽，我的车看起来像出土文物北京首都机场3航站楼: 首都机场3航站楼出土文物
2023年，你们承不承认——不看好理想，是个智商问题？理想营销太过了，全网都是，我不买了！这么大的车，还这么贵，中国有几个人会买？冰箱彩电都加进去了，是不是还要加马桶啊？不就是力帆的脱裤子放屁车吗？公司都注销了，理想马上倒闭去年9发布左右，这些群魔乱舞的言论，哪个不被抽脸抽爆了？总想给我扣帽子，总想证明我吹理想是我，结果理想卖得比我吹的还猛，某些人孜孜不倦地持续当小丑。一家车企，没有历史包袱，产品上精雕细琢，渠道上全面革新，组织上效率空前，创始人天天讲产品、讲变革怎么会输？某些人的心态一直如此国内没出好产品，呲牙裂嘴，如丧考妣，国产行不行？国内出了好产品，横挑鼻子竖挑眼，各种挑刺，我就是要证明国产不行！。我还是昨天直播的那句话——2023年，我看不到蔚理鹏华任何一家完蛋的可能性，但是我看到了太多传统品牌完蛋的可能性。: 不看好理想,是个智商问题,2023年公司或倒闭,理想卖得比我吹。
一季度累计销量33万辆，再创历史新高！同比增长527！奇瑞集团3月销售汽车125万辆: 奇瑞集团3月销售汽车125万辆
三月份各品牌销量如图。谁起来谁下去一目了然。汽车这部分不用担心。合资车确实是需要担心下。这有什么不好么？: 7月份各品牌销量对比,合资车有优势。
3月份，智己7中大型豪华交付1937台，闯进高端纯电销量前三甲。智己7以新智舱、新智驾为核心打造的颠覆性创新体验，能够更好的满足用户对智电出行体验的全新期待，赢得年轻用户为中坚的广泛认同。: 智己7中大型豪华交付,闯进高端纯电销量前三甲。
一款超境与长城汽车合作的前装量产定制车，时尚都市的外表、硬派越野的内心。北京汤河口镇: 超境与长城合作量产车
上周小黑体验了一下某豪华品牌的电动车，随车媒体畅聊电动化时代豪华车的优势在哪，是品牌还是配置还是用料？大家都觉得，百万级的电动车与十几万的电动车，从驾驶感受上来说，基本上无差别加速都很强劲，普通消费者完全够用，操控也没有拉开差距，甚至十几万的电动车在智能座舱和智能驾驶上比百万级的电动车做的还好。如果说百万级电动车的优势，可能就是白车身的安全性、内饰用料做工等这些传统工艺了。另外，电动车的制造相对燃油车也变得更容易，三电系统、智能座舱、智能驾驶都可采买外部供应商的产品，自己可能只需要设计白车身和上装。那么问题来了，你觉得百万级电动车比十万级电动车强在哪？一起来讨论讨论吧。: 讨论百万级电动车与十万级电动车的优势。
4月10日，蔚来权益调整分析（上）——辅助驾驶篇一句话总结短期来看操之过急，长期来看有必要性。调整项目2代平台车型如5等，高速领航辅助功能改变了，从1代花几万块钱的买断制变成了每月380元的订阅制。531前买车的，还可以白嫖2年一代车主可以白嫖7年以上。现状2代平台的一直在免费试用，大家都白嫖了几个月总体评价还是不错的，我个人认为体验对得起长期打磨。我认为过去的买断制不合时宜，因为整个行业画大饼都画的太厉害了，而且细节都没思考清楚。是个人都知道我被特斯拉坑了5万6一则迟迟无法落地中国二则作为软件开关，居然跟车不跟人，你换车就得重新花几万块钱三则特斯拉收二手车的时候根本不值钱，好家伙，软件贬值率100？从以上表现来看，完完全全的恶意售卖。小鹏过去也是几万块钱买断初代高速，但是后面也调整到整车售价里。理想一直都是整车售价包含，没有另外收费。当新势力普及高速之后，这类功能不再是独门绝技，相对贬值了，所以不值得几万块钱了。但我认为2023年并不是收费的好时候上面也说了，现在是人有我优，确实做的体验比较好，但是也没有代差。技术上也是高精地图路线，虽然我认为高速用路线没错。换电权益调整的时候，秦力洪说需要培养用户习惯那我认为，之类的辅助驾驶，是不是更需要这种培养？380一个月换取普通用户不常用的高速，而且没有降维打击的体验，新势力对手都是接近免费的状态，我觉得选装率不会很高。我认为合适的时间点，应该是软件架构一统高速、城区、车库之后，的体验能远远超过第二梯队，蔚来把保险等综合服务体系理顺（见下文），再进行订阅制收费比较合理。但是长期来看，我认为订阅制是必然的。很简单我们如何解决通往自动驾驶之路上，大家最关心的法律责任问题？前两天直播辩论，我说自动驾驶的责任问题只有用保险来解决，这个观点我几年都没变。无论你怎么看，无论你怎么喷，这都是唯一可行、具有操作性、具有大规模可复制性的道路。有些人真的蠢到爆炸，他们以为自己站在道德制高点上，否定辅助驾驶就万事大吉。殊不知——不带解决方法的否定，只会加速技术更激进的往前走。你只会一味的否定，而我有一个方法。也许我的方法看起来是个暴论，但你猜最后全社会沉默的大多数会选择哪个？你们这种不带脑子的行为，只会逼迫全社会靠拢这唯一的方法。好，如果这个逻辑是通的，那么保险的钱从哪里来？如果是从车价里面出，不切实际——因为李斌说的没错辅助驾驶是个长期的服务。就算为这个服务一开始花了几万块钱，到后面一定是厂家觉得自己吃亏，长期开发、维护成本过高用户也觉得自己吃亏，因为用户不觉得这算逐年摊销成本。双方的斗争会非常尖锐。订阅制是目前看来唯一可以解决保险费用的做法用得上就买，用不上就不买一次花点小钱，同时买到服务和责任。同样的，还会有杠精跳出来你这不是羊毛出在羊背上吗？那我可以反问一句有没有更好的办法？再反问一句在这之前，我要怎样才能买到这种服务？权责一体，权责一体，可笑太多人都不明白这个词的意思。正确的理解是没有服务，空谈责任是没意义的没有责任，服务只会偏向厂家。保险本身就是花小钱顶大风险的一种收益了，可以相对较好的平衡的主要矛盾。所以长期来看，订阅制保证源源不断的现金流，你不用就不付钱当你花钱的时候，品牌提供服务的同时，利用数据支撑体系做到无感买保险（提升用户体验），以此冲抵双方的风险，这才是商业正循环的最大可能性方案。一句话总结我觉得搞订阅制太急了，搞订阅制正好。: 蔚来权益调整分析,认为2代平台功能具有可操作性,但长期存在存在问题。
特斯拉发布2023年第一季度生产及交付报告。2023年前3月，特斯拉全球范围内共生产电动车超44万辆，交付超422万辆，分别同比增长443、364！特斯拉的数据够养活国内好几个车厂的，我们得采取措施啊。: 特斯拉2023年第一季度生产及交付报告发布
年轻人应该先买房还是先买车？: 年轻人应该买房还是买车?
都长期开过，我个人总结是1车体用料奔驰＞宝马奥迪奔驰从外观到内饰无需多言，价格也摆在那。主要对比宝马和奥迪，宝马用料在内饰上比奥迪上眼，但在看不见的地方越来越抠搜。奥迪用料在看不见的地方还是很良心，地盘扎实，真正开，开到不同路况，就能感觉到。2驾驶感受(注意是驾驶！不是乘坐)奥迪＞奔驰＞宝马很多人会喷奥迪入门车型的双离合、前驱等等，知乎有专门的技术贴科普可以去搜，这里不作讨论，就切身的驾驶而言，和身边朋友都认为奥迪开起来才是真的爽，油门秒响应，从转向到悬挂到地盘做到了一个字整！就是开起来很整很扎实且很猛。这里肯定有人会讲宝马所谓操控性，我就问什么年代了，操控性是值得吹的吗，自动挡时代所谓操控性无非是油门升降和转向，奥迪傻就傻在不知道操控还可以吹，奥迪性能车不谈，毕竟拉力赛都不让参赛的存在。就这几年4去开开就知道了，家族传统还是有的，它带来并不是操控层面的揣摩，而是真正的驾驶感受。任何时候我们都应该知道，操控性是一个抽象词汇，我们要具体到各个部门的表现及调校的统一性，从而形成的驾驶感受。奔驰开起来平顺从容，动机钱说话，不做讨论。同级别宝马从这两年改款车型开起来来看，综合身边老司机一致认为，顿挫感，刹车点头，转弯甩人，开起来很难受，司机比乘坐者先晕。先别提驾驶感受，就基本的操控也没了。如果觉得我是在黑，就去真正开个十天半月好吗？不要再键盘了。3性价比奥迪＞奔驰＞宝马这里很多人会说奔驰15卖标，我们先把逻辑缕顺，品牌力上奔驰就是第一，就是明卖个大标，买标的人就是觉得值，我也觉得值，跟明星陪酒一样，功能都一样，好看有腕就是价值，体验就是爽，这不能算性价比差。这还没说高端车型，上市老总我看都是坐迈巴赫，没见坐8七系的。以上是没把奔驰的性价比放最后的原因，这里说宝马，价格这两年飘的有目共睹，同级别如果认为贵就是品牌力，问为什么不上奔驰，答15性价比不高，问那奥迪性价比最高怎么不买，答品牌力不如宝马，问所以钱花哪了，性价比没占上，品牌力也没上去哪啊？这个逻辑之下，宝马品牌力来自多花钱？注1以上是个人看法2整体比较，未指定某一车型3选车一定要过滤掉各种声音，亲自去开4为防键盘车神，评论不开放: 驾驶感受:奔驰和宝马的性价比高,但价格差距大。
特喜欢捷尼赛思60的体验，如果它可以长成这样该多好，真是太帅了。我知道你们要说版马上要进来，但相比现代，起亚又张牙舞爪了一些。香港比亚迪真不少。: 体验捷尼赛思60,太帅了,香港比亚迪不少。
假定2025年将继续免购置税，那么渗透率可能突破了60，那汽车产业对中国的税收贡献就会很低，地方肯定持续给企业输血，财政呢也收不到钱。到2024年开始收税，但是如果预期2025年底，是不是有点过了呢。说到底，汽车产业是中国财政重要的税基，没有汽车企业挣钱然后交给国家，很多地方财政确实难以为继。: 汽车产业是中国财政重要税基,没有汽车企业挣钱交给国家,地方财政难以为继。
今天试这台，好像逐渐饱和后大家又开始造轿车了: 车型逐渐饱和,准备造轿车
聊聊国内所谓的半亿神车，到底值多少钱，究竟是怎么成为半亿神车的。每当国内有布加迪，帕加尼，柯尼赛格出现时，我基本都会科普，也一定会有争议。每次争议之后，一切还会照旧。所以我想做一期内容，从各个方面聊聊那些半亿神车。大家觉得怎么样[喵喵]: 聊聊国内半亿神车值多少钱
今天拍了拍哪吒，这车二十多万来说，这颜值真没得挑，零百3秒7，有辅助驾驶电动化时代才能有的产物: 20多万的颜值,零百3秒7,辅助驾驶电动化时代产物。
比亚迪太会玩儿了，上次仰望发布会仰望8横着出来，今儿云辇发布会扭着就出来了，居然还会蹦: 比亚迪发布会扭着出来
锐界整体给人的感觉与福特其他车型不同，更灵动更运动，采用的是福特势能美学全新家族设计语言，大胆革新的前格栅，将贯穿式日间行车灯完美融合其中车身大量横向设计元素的应用，让其在视觉上呈现自信之感。打开车门，锐界的车内布局显得包容且开阔，或许是其应用大量极具气势的水平线条的缘故。223的座椅布局是如今大多数七座采用的方式，随时开启家庭出行舒享模式。锐界还针对中国人体型特征，对于座椅的设计型面、材质、结构和尺寸做了全新思考，包裹性更强、软硬度适中、倾斜角度俱佳。: 福特势能美学全新家族设计语言,在车内布局包容且开阔,可随时开启家庭出行舒享模式。
我说智己7，极氪001性价比比特斯拉高，至少上百个喷子来喷我。我踏马就纳闷了，你们体验过啥叫配置和隔音还有大空间吗？你们的有驾照吗？: 极氪001性价比高,上百喷子来喷我。
各位车主朋友大家好！今天跟产品工程专家开会得到了两个腾势9上的提升点1、方向盘上的触控键增加力度和两次确认这样的解决方案更友好2、目前3以下速度可以打开后备箱门，将采取车锁联动（锁车状态开不了）按键二次才能开启055时速以上不开启这样就解决了。3、金色外观本月下旬开始交付，一个月可以1000台左右大家久等了。其他都在持续优化，大家敬请期待。以上这些后期会升级，大家稍作等待。: 腾势9提升点介绍
我刚发现阿维塔送的这4500度电是可以给所有的电车充电的，以后每年还会再送1500度，等于买了车，就再也不用花钱了: 阿维塔4500度电可给所有电车充电
云辇太帅了，这才是今晚最大的彩蛋，最后这个舞蹈也是太魔幻了: 高帅帅的彩蛋,舞蹈魔幻。
蓝绿牌合并，最大的受害者是电车？恰恰相反，可能让油车猝死！有些人真的就是草履虫一样的单细胞动物，一听说车牌合并，他们脑子里面蹦出来的逻辑就是——没有政策支持，你们这帮电车通通都得完蛋，哈哈哈。然而草履虫不具备高级逻辑思维能力——乘联会并不是官方机构，而是作为民间机构向有关部门提出建议。就算两年之后，也就是2025年准备进行蓝绿牌合并，你有没有想过两年之后的电车会多可怕？今天的一堆电车，无论是混动还是纯电，都已经把合资油车吊起来打了2年之后？2年以后你没有出厂的城市，没有800架构的充电10分钟续航400公里，你还好意思卖？而油车根本就没有下一代了，两年之后各种电车一定会在产品力上把油车连根拔起。再然后，如果2026年1月1日，车牌合并，电车收购置税，市场会变成什么样？一定会跟去年12月份一样，消费者疯狂购入电车，大量透支26年的订单。好了，产品力比你强，销售渠道管理比你先，消费者还会因为政策原因疯狂透支订单你说油车会不会直接猝死？2023年前三个月，都是电车抗打击能力强，恢复更快，不会有人认为2026年的油车能颠覆产业格局吧？不会吧，不会吧？: 绿牌车牌合并,可能让油车猝死,消费者疯狂购入电车。
比亚迪王传福谈无人驾驶: 比亚迪王传福谈无人驾驶
赏哥一直听说哪吒造跑车了，这次终于可以看到渲染图了，不过赏哥最想看的的还是实物图，这次实车怎么样也没看到，只能等等看了。品牌这种玩法可真是吊人胃口啊[苦涩]赏哥看到在4月1日，哪吒汽车3月销量出炉，共交付台，2023年第一季度累计交付台。从数据可以看出来，哪吒的销量一直还是不错的。其中呢，赏哥还了解到哪吒车系交付4793台，哪吒车系交付3088台，哪吒交付2206台。截至2023年3月，哪吒汽车累计交付台。而且赏哥记得在3月，哪吒汽车旗下首款双门四座纯电跑车正式定名为哪吒。赏哥了解到新车是基于山海平台打造的第二款车型，将于4月4日首发亮相，随后将于2023年上半年上市交付。其车身尺寸为长宽高，轴距2770。动力上提供了单电机和双电机两种选择，其中双电机版的前电机最大功率170，后电机最大功率170，据官方表示，双电机版将跻身3秒俱乐部。赏哥还了解到哪吒内饰采用了环抱式的形布局，座舱线条简洁有力，表达出强大的力量感与运动势能。一块大屏竖置在仪表台上，搭配运动造型的方向盘和运动风格座椅设计，科技感、可以说是未来感十足。除此之外呢，赏哥还得知了继2022年哪吒汽车开启出海元年后，2023年哪吒汽车迈入全球化发展的加速之年。其实在3月，赏哥就看到哪吒汽车在泰国的生态智慧工厂正式奠基，将成为哪吒汽车打造右舵电动汽车、出口东盟的主要制造基地，同时其也是哪吒汽车首个海外工厂，还是挺不错的。: 赏哥获悉哪<unk>车系交付4793台,预计2023年上市。车身尺寸长宽高,双电机版的前电机版和最大功率170,未来将跻身3秒俱乐部。
魏牌发布了新摩卡，其实我已经静态体验过了在等解密，你们觉得变好看还是变丑了？: 静态体验新摩卡,认为变好看还是变丑?
这辆比亚迪宋它肿么了[苦涩]: 比亚迪宋车型肿么了[苦涩]
抖人天天说比亚迪和特斯拉，晚选特斯拉一秒就是对特斯拉的不尊重。然后三月比亚迪卖了20万，特斯拉卖了7万。有没有一种可能，口嗨的抖人买不起特斯拉，也买不起比亚迪？: 抖人买不起特斯拉,比亚迪买不起。
2017年买第一辆车的时候，去看过思域，销售鼻孔朝天加价6000，要么加8000提走展车。今天你怎么了思域，你说话啊！该！: 思域遭遇销售加价问题
真男人开什么车？答案来了[好喜欢]: 男人开什么车?答案:好喜欢。
俩150猛禽工作车到公司整备，准备今晚发车去敦煌了。一次出俩猛禽就是大活儿，今年第一个苦活儿，准备开始。: 猛禽工作车赴敦煌整备,准备前往敦煌。
在这个快节奏的时代里，我们在成长、经历、努力和失去，同时也在努力好好生活。但是，被压力和负面情绪左右的日子，让人感到疲惫不堪。因此，我喜欢偶尔放慢脚步，寻找简单纯粹的落脚点，奔赴蓝天白云、绿地草坪，享受自由和向往大自然的感觉。生活中的仪式感很重要，可以让我们更有动力和目标。比如汽车露营、野餐等活动，都是很不错的选择。而且，生活中总会有意想不到的惊喜出现，让人不断感到兴奋和惊喜。对我而言，我最喜欢的就是空间大的车子，可以躺在车里看书、睡觉，没有任何压迫感。锐界车身长5000*宽1961*高1773，轴距2950，大尺寸带来宽绰的空间，会让人坐的更舒展，223的座椅布局形式，空间更加灵活，第三排放倒后，轻松腾出一个大床房需要物料收纳箱收纳盒、气垫床、柔软的毯子抱枕玩偶、喜欢的车载灯或者可挂的彩灯改装步骤1量好尺寸，在两侧准备可以放东西的收纳隔层2准备和后备箱尺寸刚好合适的气垫床，留出足够宽敞舒适的空间3摆放好柔软的毯子、抱枕4预留插座，方便手机充电坐在车尾，支持小桌子煮杯咖啡，看会书窗外的风景随时可以切换可以是海、雪山、田园、溪流、山野、日出、日落、星空后备箱变成大床房，随时随地想躺就躺舒适自在的空间，可以是家里，也可以在车上！: 在快节奏的时代,选择空间大的车,可以躺在车里看书、躺在车内睡觉,可以腾出大床房,享受自由和向往大自然的感觉。
德媒中国汽车成功的六大原因，德国车企难以跟上中国的创新步伐德国汽车公司在重要的中国电动汽车市场没有取得进展。他们可以从中国竞争对手那里学到很多东西。德国《商报》近日刊登了瑞士圣加仑大学汽车研究所所长安德烈亚斯赫尔曼和上海同济大学教授韩政的文章称多年来，德国汽车制造商一直盯着埃隆马斯克和特斯拉。但这可能不是决定性的竞争对手。准确了解中国竞争者的全球崛起的战略基石更为明智。六点尤为重要。1数字优先！从一开始，中国汽车制造商就专注于为客户提供数字体验。这一维度提供了一个很好的机会来补偿在发动机、变速器、品牌和设计方面的竞争劣势。对于中国厂商来说，汽车不仅仅是一种代步工具，更是一种生活方式产品。他们的目标是赢得中国及国外众多年轻的数字原住民作为客户。毫不奇怪，中国汽车品牌在中国汽车智能化体验研究中名列前茅。2关注新客户群。中国制造商总是热衷于发现新的客户群，并为他们提供量身定制的产品。3尽可能控制资产。摆脱了西方汽车制造商的传统和束缚，中国汽车制造商主要专注于研发、设计和市场。他们尽可能外包生产。4放眼全球，而不是国家或地区。中国汽车制造商从一开始就面向全球思考和行动。在世界各地都设有研发中心，尤其是在硅谷，那里聚集了电动汽车、自动驾驶和互联网的顶尖人才。5服务的货币化。许多中国制造商正以创新的按使用付费模式进入市场，以激发客户对车辆的兴趣。6打破行业界限。如果有利于成长，中国制造商会毫不犹豫地跨越行业界限。吉利已收购了魅族79的股份，背景是将智能手机与汽车更好地结合在一起的想法。小米也宣布将进军电动汽车市场——做苹果长期以来一直在做的事情。小鹏甚至对城市空中交通感兴趣。飞行子公司已在迪拜完成了首次试飞。吉利还是的投资者之一，后者是一家生产电动空中出租车和货运无人机的德国航空公司。结论。中国是全球最大的电动汽车市场。迄今为止，德国制造商未能在当地发挥竞争优势，难以跟上中国创新的步伐。他们应该针对本地市场整体开发产品，并适应中国市场的节奏。: 中国汽车制造商应注重全球创新,并注重中国制造业的领先地位。
马上就是415了，也就是极氪001发布两周年。如果我没记错，类似事件还有当初2021年天幕问题、2022年新春权益事件以及2023年单方面强制更改合约损害用户权益事件。加上这次区别对待老车主的问题，这应该是极氪第四次被车主联合声明了。极氪一直宣称不断进化，坚持与用户共创。进化了什么？两年时间里，车机不能说毫无进步，但可以说是烂泥扶不上墙，依旧非常多，甚至现在还有座椅记忆失效的问题共创了什么？共创了四次车主联合声明，共创到了车质网投诉榜第一我也是醉了。再看看当初发布会画的饼，2022年率先推出城市自动驾驶方案，现在应该是2023年了吧！甚至连直进直出功能都没有呢！不是对你没耐心。是耐心真的被消磨完了[苦涩]西安: 极氪车机两周年,多次被车主联合声明,曾提出强制更改合约损害用户权益,最终在2023年率先推出城市自动驾驶方案。
备胎可以当正常轮胎长期使用吗？这个视频可以告诉你为什么备胎是不能当正常轮胎长期使用: 备胎不能当正常轮胎长期使用
中国的很多企业都是外资公司的推动下，完善和提高了制造和开发能力。中国的汽车行业也是在外资的引领之下，逼出了一大批优秀的供应商，这才能让国产的汽车有大量优秀的供应商可以使用，所以外资企业尤其是优秀的外资企业对中国制造业的推动和提升是巨大的。目前，这些外资企业正在向越南，印度，墨西哥，马来西亚等国家转移。所以这些国家的生产和开发能力也会得到脱胎换骨式的提升。未来中国一家独大的世界工厂格局会有所改变。这个时间不会超过5年。: 外资企业推动中国制造业的提升,不断向越南、印度、马来西亚等国家转移。未来中国一家世界工厂格局将改变。
旅行日记 家人们早上好呀[哇]今天是冷酷猫教上线！喂喂喂，都来听猫教说两句！[喵喵]大鹅: 冷血猫教上线,听猫教说两句。
电子竞技俱乐部不是，教，你养了这么些天的号，怎么还是这样洪洗象@洪洗象: 洪洗象质疑俱乐部
预告四月春狼队妖刀@狼队妖刀狼队王者荣耀: 预告:狼队妖刀王者荣耀
自制半身图分享拿去做证件照还是挺不错的谁是双开门大冰箱已经一目了然了姐妹们抱图吱一声[干饭人]除了不可商用其他随意[干饭人]: 分享半身图,谁是双开门大冰箱。
代号鸢孙策我被你钩住啦，可别三天换水、七天换鱼啊。欢迎自取[团圆兔]: 鸢孙策换水换鱼,欢迎自取代号。
辛苦5小时，终于搞好了。果然手法还是有很大的问题！途中也遇到了许多乌龙波折！不过最后成功完成还是非常开心！头铁就完事了！: 旅途遭遇波折,成功完成头铁。
9458稿 去年被爆出来口嗨烈士，还有香草小果的时候，脱粉回踩的女友粉特别多。豆瓣还有脱粉回踩的总结帖。今年靠和的翻身，粉丝又多起来。现在被爆出来有女朋友，会不会也和一样，夏季赛靠翻身？: 脱粉回踩的女友粉太多,期待夏季翻身。
局长中心短漫《沉重的时刻》建议看完十二章后食用，祝用餐愉快: 局长中心短漫建议看完十二章后食用
整点每天被我上下其手一通乱摸的傅副官: 乱摸傅副官
1708无处不在的艾尔海森: 170708无处不在
绝意风吹落地叶清心伴我身: 叶清心伴我身
代号鸢速摸了个68，还是这边发吧: 鸢速摸了68,还是这边发
422 我超居然是223主动提出让咖位住自己家的，咖位之前说那么难听都说不跟你做朋友了什么卑微人设，好毁223人设: 223主动提出让咖位住自己家
刀口小公告有粉丝私信告诉刀口，我们抽奖的选手签名拍立得在二手平台上被高价转卖。其实这种事情也不是第一次了，刀口一直没有想好应该怎么样干涉。因为有俱乐部支持和选手配合，所以才有了拍立得形式来记录选手们一个个珍贵的瞬间。刀口拍摄的初衷，也是希望幸运抽到拍立得的同学能以这种形式拥有喜爱选手的某个瞬间，实在不希望它们成为赚钱的工具。如果这样的事情增多，俱乐部也可能会限制拍立得和签名照之类的发放。而且这次是刚刚开奖两天，刀口甚至还没来得及寄快递，就已经看到了奖品被倒卖的消息。所以今天刀口们商量决定1、图上这位的拍立得中奖作废，稍后会在原微博重新抽取。2、以后如果再有中奖人高价倒卖拍立得等中奖物品，也欢迎大家私信告诉我们，核实后如尚未寄出奖品则直接取消中奖资格。并且我们会在本号和康平路在逃大白兔@康平路在逃大白兔同时拉黑对应的用户。另外在二手平台上还有很多虚假的签名照拍立得在流通，刀口在此呼吁大家不要去购买这类商品！大部分选手的签名都很好模仿，真假难辨，大家千万不要上当受骗！谢谢大家的理解: 签名拍立得在二手平台上被高价转卖,刀口呼吁不要购买这种商品。
现场致返图 广州丶九尾@广州丶九尾尼克狐尼克，你被捕了: 广州九尾狐尼克被捕
30级以后才能改命盘1、华佗治疗（悬壶济世治疗效果提升神纪岐黄伤害提升）超奶，比史子眇还好用华佗输出（提升攻击降低治疗弃医从武神纪岐黄伤害提升）变成合格的输出了2、杨修（技能伤害大幅增加初始能量2技能伤害中幅增加）3、吕蒙（攻击附加灼伤变身时提升属性变身概率提升）4、孙权输出（技能额外强化释放技能后获得剑技能伤害中幅增强）孙权防御（受击时获得减伤防御时嘲讽并减伤防御时恢复生命）5、孙尚香（暴击效果提升普攻变为群攻效果防御时恢复生命）6、鲁肃（技能劝退概率提升技能伤害大幅增加普攻伤害大幅增加）7、陆逊（技能消耗提升，但效果更强技能消耗能量1普攻和技能会附加灼伤）8、阿蝉（追击伤害提升技能伤害大幅增加普攻伤害大幅增加）9、史子眇（最大生命大幅提升治疗效果大幅提升技能提供减伤）10、严白虎（普攻伤害大幅提升技能伤害大幅提升被动触发概率提升）11、颜良（普攻伤害大幅增加最大生命大幅提升攻击恢复生命。）12、陈登（初始能量2最大生命大幅提升普攻伤害大幅增加）13、郭解（郭解不再会退场受击降低敌人攻击生命低时获得减伤）14、王粲（技能冷却时间1同生共死 回合增加技能提供护盾）15、贾诩（初始能量1普攻伤害中幅提升强化与郭嘉的联动）16、郭嘉（解析 无限叠加普攻后提升攻击强化与贾诩的联动）（大家需要注意的是，你就算洗到好的命盘了。开启需要骨算筹，骨算筹只能在兰亭商店兑换。而每个月兰亭商店只有2个。过完第五章主线也会赠送2个，开启前需要慎重，不要浪费了。不然只能花钱买了。: 改命盘新技能介绍,包括华佗、郭解、王粲、孙尚香等。
看见一家奇怪的咖啡店: 奇怪的咖啡店
赛提 海维 流浪者 须弥男孩儿的聚会作者*图片已授权，请勿转载商用: 须弥男孩聚会作者声明
来个家人，看图想个标题[送花花]: 家人想标题送花花
浅浅摸个王妃！！！！可以做头像！！！！！: 尝试浅摸王妃头像
春季赛精彩热点 南京久竞@南京久竞南京星痕@南京星痕戴着南京傲寒@南京傲寒的眼镜在看什么呢: 南京久竞、南京星痕、南京傲寒观看春季赛精彩热点。
你再说一遍你干啥去了？堂本熊: 讨论:你干啥去了?
纯情小狗火辣辣摸了代号鸢孙策代号鸢: 纯情小狗代号鸢孙策
代号鸢被金钱淹没的傅副官: 被金钱淹没的傅副官
萌萌哒还有被扯掉发冠的纯享版[熊猫][熊猫][熊猫]代号鸢这条的后续: 萌萌哒有被扯掉发冠的纯享版[熊猫][熊猫]代号鸢后续
[虎扑红榜]狼队双杀星拿下五连胜，成都全面回暖登顶组重庆狼队这赛季是不是强得有点离谱了？杭州大鹅小落赤辰好猛的年轻人佛山前半程的，永远不让你失望成都超玩会好起来了广州清清新任榜一大哥: 狼队五连胜,成都全面回暖
