成龙大哥生日快乐成龙@成龙: 成龙生日快乐
用了这么多旗舰，小米13配置不是最顶的，但是用起来确实舒服。: 小米13旗舰配置高,使用舒服。
实物盖板结合渲染图，15系列又要吸一波安卓用户。: 15系列实物盖板结合渲染图
小米13系列手机全球销量已经突破500万台？: 小米13系列手机全球销量破500万
混乱的一个体现大概就是我想下载个，一直进了三个主页，下了三个客户端，才下载到一个真正的！所以，我强烈建议苹果坚持自我，不要给第三方应用商店机会，不要开放第三方应用商店，就守着你的！: 强烈建议苹果坚持自我,不要开放第三方应用商店。
何院士，我跟你普及一下，芯片是一个产业链，从上到下以依次是芯片设计，芯片光刻生产，芯片封装测试，芯片集成产品。华为做的是芯片设计环节，芯片光刻生产是主要是台积电、三星和中芯国际，芯片封装测试很多公司可以做，芯片被各种产品集成，例如小米，，联想，荣耀。华为不是做一个全产业链的厂商，你能明白吗？没有台积电、三星生产，美国高通，美国英特尔，美国英伟达一样也出不来产品，就连三星有设计、制造两大产业链，没有荷兰光刻机，日本光刻胶供应，同样也无可奈何直接将一个顶级产业链的使命甩锅给华为，确实你是不懂芯片，或许你也不知道华为目前正在需求突破，而你所崇拜的那个公司，在中美科技战背景下，依旧高高喊出了没有计划做芯片操作系统的口号，连想都不敢想，不思进取，不求翻身，这还有希望翻身吗？芯片生产的光刻机是世界智慧的结晶，不单独是美国的技术或荷兰的技术，当然是西方国家的技术，美国能夹脖子，是他领导着世界，没有美国技术，荷兰也出不来光刻机。中国要走出困境，要与世界接轨，真正被世界接纳，包括现代价值体系。: 华为芯片技术落后于美国和荷兰,缺乏核心技术被世界接纳。
今天在谷歌商城更新了泡泡之后安卓用户终于可以截屏了！！！: 谷歌商城更新泡泡后安卓用户截屏
小米公司@小米公司小米手机@小米手机红米手机@红米手机雷军@雷军卢伟冰@卢伟冰小米社区@小米社区深圳: 小米手机和红米手机在小米社区建立合作平台。
利奥利南韩魅族分公司！不行！魅族中国！行！: 利奥利南韩魅族分公司,魅族中国。
广东高人一等啊[哆啦梦害怕][哆啦梦害怕][哆啦梦害怕]想要早点升级居然要挂到广东才行学习了: 担心升级难度,需到广东学习。
中兴50来了4月12日1330发布支持可编辑北斗卫星通信消息，主打行业首款支持卫星通信的5安全手机。不出意外还是骁龙82，这么一来中兴家族红魔努比亚中兴齐活儿了: 中兴50发布支持北斗卫星通信手机,红魔努比亚齐活儿。
这款中兴远航是我个人感觉最离谱的单摄: 中兴远航单摄离谱
我的印象非常深刻的是，当年通过小米手环1入坑，算上来快9年了吧。2016年发布了米家品牌，那款电饭煲我真的看到很多饭馆都在用。次年推出的小米音箱我陆陆续续抢了6个，现在还在服役。生态链现在每家都学的不亦乐乎，雷总的每一步棋都极具前瞻性的: 小米手环入坑快9年,小米音箱还在服役。
话说回来，的系列还是可以继续卖几年，国产手机卷完的东西，他可以一年挤一点，封闭生态[笑]标准版就很惨了。: 国产手机系列可以继续卖几年,标准版会更惨。
疑似6原型机曝光 这应该是最初版本的外观，只不过最后被砍了，甚至之前还流出过比较接近的渲染图，原型机采用的是矩阵三摄镜头模组，那和现在最终版本的圆环三摄镜头模组相比。说实话，你们觉得哪个最好看？: 疑似6原型机曝光,采用矩阵三摄镜头模组,外观被砍了。
产品设计师设想了的耳机的外观: 设计师设想了的耳机外观
6还能用，太经典了，这个机我还收藏了一个全新未拆封的[笑]: 经典机型,收藏全新未拆封机。
6和14拍照对比[干饭人]: 14与干饭人拍照对比
用华为3在重庆扫街，技术有限凑合看咯无数次经停重庆，来玩还是第一次。在我看来重庆有着比上海更霸气的夜景，比成都的美食氛围更浓，真是个宝地。: 华为3在重庆扫街,偶遇上海夜景,认为重庆比上海更霸气的夜景和美食氛围。
大家觉得这算是最完美的全面屏吗？说说看法: 完美全面屏引争议
来组魅族20真机图赏，我们那个熟悉小而美回来了，满分10分这颜值你们能打几分？: 魅族20真机图赏
华为今天带华为非凡大师，正常使用看看一天续航怎样，去找个荒山野岭处给卫星发个信息看看，早上9点充满电的，今天见证我的一万步吧[奋斗]: 华为使用非凡大师,查看续航情况。
流畅是真流畅，拉胯也是真拉胯——魅族20魅族20，如果你把魅族20当成一台旗舰手机，那么确实是不太合格的！如果你把魅族20当成领克的车钥匙。嘿！我车钥匙又能上网又能拍照！魅族小米华为华为手机红米: 流畅拉胯的魅族20
荣耀5屏幕分辨率有三挡调节，观感差异微乎其微，尤其是标准和高。下面三张是各自对应分辨率的截图，不看字你能分辨么: 荣耀5屏幕分辨率有挡调节,观感差异大。
账号做了几年，手机厂商里面也有不少品牌建立了关系，包括华为、、、魅族、荣耀、、一加、。三星得努努力拓展一下关系，苹果得努力做内容，小米和得努力出黑名单[笑]跟小米的关系最离谱，好的地方会夸，不好的地方直说，雷总还转过我微博，可是就洗不白了: 手机厂商品牌关系曝光,与小米关系最离谱,好的地方夸,不好的地方洗不白了。
我在前阵子复测了25下骁龙82旗舰机的原神跑图表现，大部分旗舰机都出现了不同程度的劣化，比如小米13和6012分钟就降频了，11和90是16分钟降频，都比之前冬天25下的测试提前了几分钟。荣耀5我前几天也复测了，第17分钟才开始降频，但是降频幅度并不大，也并不像别的手机是直接锁到了45帧或30帧，降频之后基本上在50帧以上，最后平均帧率为586帧。没想到这一次测试下来，荣耀5竟然是我们复测的25原神跑图80帧率最高的骁龙82机型。: 骁龙82旗舰机原神跑图劣化,荣耀5复测降频幅度较小。
努比亚50一周使用简评13系统已经非常成熟了，流畅不卡已经不单是卖点了，系统清爽无广告体积小，而且稳定高效，图标和壁纸非常耐看。很少见的直屏旗舰，第四代屏下摄像技术非常成熟，完全感受不到前置摄像头的存在，自拍没有重影不发虚。而且四边窄边框的直屏，算是一众曲屏旗舰机市场里非常有个性的特立独行。独立侧滑键很好用，一键切换人文街拍，3585黄金双焦段，出图爽，拍的舒服。唯一不足我觉得是机身太滑了，不带套真的拿捏不好容易脱落，我这台就不慎摔了一次，好在金属中框够给力的，就是侧边砸了个小凹痕，其他没啥。切记买个壳吧: 努比亚50使用简评13系统,流畅不卡,第四代屏下摄像技术成熟。
6大漠银月，这外观真是越看越喜欢: 喜欢大漠银月外观
这段时间60已经成为了我的主力机之一，只可惜天天乱飞没有专门给它去拍样张。60和60的区别并不多，只有下边三个第一，超广角镜头从的1300万像素升级到4000万像素第二，电池从的4815升级到5100第三，标配12内存512存储，可选1存储，而则是512版本配12内存，最高512存储。如果你喜欢这个海岛设计，那么不用犹豫直接，如果你喜欢洛可可白，那可能就要纠结一下了。*现在的版本已经很强，但直到今天，它依然在更新。: 60和60的区别并不多,只有三个第一,电池从4815升级到5100第三,可选1存储,最高512版本。
6专业模式降05到1曝光真的太强了。原图无修，这味道太正了，光影的质感。香港香港中环置地广场: 专业模式降05到1曝光,味道正,中环置地广场效果强。
突然想到个问题，现在系列都已经命名到90了，那你们大胆猜猜，下一代产品会叫啥呢？: 下一代产品或叫啥?
华为11渲染图也曝光了，后摄布局类似60，有望支持卫星通信技术。能看出来这款手机采用了直角中框设计，后置镜头模组为长椭圆圆形三摄。配置方面为搭载骁龙84处理器，还有100的快充，不得不说这个月新机真是多啊: 华为11渲染图曝光,配备骁龙84处理器,支持卫星通信技术。
前一阵，发了一条联想小新锐龙版的视频，很多人说为啥封面是美女，视频里却是男的，这不，美图来了。再聊聊产品吧，整体来说，联想小新版的质感还是挺不错的，接口很全，保留了读卡器接口，日常传输文件照片很方便。手上拿到的是锐龙版，锐龙7处理器680核显，161的内存组合，不玩游戏，偶尔用用还是非常够用。屏幕是28分辨率，支持120刷新率，观感很不错，基本上没有什么颗粒感。有对内存和性能要求较高，又喜欢轻薄的朋友可以看看这款，入手绝对不亏。青岛青岛农业大学: 联想小新锐龙版质感不错,配备锐龙7处理器和内存组合,屏幕28分辨率,支持120刷新率。
3的升级机型预计4月中旬正式开启花粉招募，想要趁早尝鲜的小伙伴赶紧关注起来！具体升级信息及路径详见下图！更多详情可点击下方链接: 花粉招募升级机型详情
来一组6的随手拍样张，这个机子的直出色彩调校确实很不错，比较讨好眼球，系列终于站起来了，大家说呢？[三生]: 6系列随手拍样张
今天就几千台，难怪大家买不到: 几千台台待售,购买力不足。
6更新了新的系统，中长焦镜头的锐化的确好了一些，虽然还有锐化，但是相比于上个版本已经好了一些了，在一些场景里面会明显一点，6系列用户非常建议更新！上面是更新后，下面是更新前，都是3倍焦段拍摄，大家觉得更新前后怎么样？这次6底子很强，现阶段的体验呢也的确已经非常棒了，不过感觉再优化优化会更好: 6系列用户建议更新新系统
魅族20银色真不错，质感很像14，但手感比苹果要好: 魅族20银色不错,手感比苹果强。
联想小新公布了首款迷你高性能主机，1体积，搭载13代酷睿处理器，内置了150白金电源，宽度跟小新平板差不多，外形设计很有质感。大家对迷你主机类的产品感兴趣吗？: 联想小新推出迷你高性能主机,内置13代酷睿处理器,外观有质感。
最近给女孩子和在校读书的学生们推荐的轻薄本只有2023款的小新14，轻薄好看兼顾性能实用的智慧本，17个小时的续航时间，可以说用上就停不下来，只有161的存储组合，大内存普及不是只有手机才有哈。: 推荐2023款小新14,轻薄好看,性能实用,仅161存储组合,大内存普及。
兄弟们要不要给手机回粉: 兄弟们要不要给手机回粉?
也是挺有意思的，全面对标。出什么样的产品线，也跟着出对应的产品[喵喵]（下文有彩蛋，请认真看完）例如有主攻线下的系列，则推出主攻线下的数字系列，对标系列。有主攻线下的系列，则推出主攻线下的系列。有主攻线上的一加系列，则推出对应产品真我系列。有主攻线上的一加系列，则推出对应产品真我系列。有主攻线上的一加数字旗舰，则推出对应产品真我系列，并且产品力仅次于，年底见[喵喵]: 全面对标产品线,推出对应产品真我系列。
看我又整理出来的回忆杀！2018年还在上大学的时候攒的魅族周边和小米周边。那个时候就是魅族手机的主力选手，以及米家的忠实爱好者了！: 回忆杀魅族周边和小米周边
翠色名从天上来，玉人留取最先栽。绿波浮动千重翠，青霭微茫一望开。华为60翡冷翠，这个配色大家感觉如何？: 华为60翡冷翠配色引争议
今年15大降价你会买吗: 15大降价,你会买吗?
荣耀5系列参数对比表，相比之下这3款，总感觉我最爱的还是荣耀5普通版[喵喵]: 荣耀5系列参数对比,普通版最受欢迎。
161版本，2599元，明日10点再次开售[握手][握手][握手]: 2599元1版本明日再次开售
才得空拆开来看看。真好啊。舍不得用。联名就该做得这么用心。: 拆解联名,用心感受。
大战三星，为啥我觉得更好？网图: 对战三星,为啥我觉得更好?
镯子贴膜不丢人、不尴尬，习惯成自然，手机贴膜被认为是理所当然的，其实手机作为易耗品，真没必要贴膜，甚至手机壳都没必要套，如此用得才丝滑，当然这是朋友告诉我的。我还是习惯把手机贴膜、套壳，用着还是顺手，不然太滑了，容易掉地上。至于镯子贴膜，真挺必要的，否则日常佩戴会磨损。其实，不管是黄金配饰还是手机，贴不贴膜都是个人选择，没必要在乎别人的眼光。: 手机贴膜不必过分,使用需顺手。
谁能给我讲解一下，华为手机是如何做到用指关节敲两下屏幕可以截屏，用手指尖敲屏幕就不能截屏的？感觉太有技术含量了实在是。: 讲解华为手机截屏技术
90系统更新啦也更新了相机厂商之间竞争很激烈呀: 相机系统更新,竞争激烈。
12不出意外的卖的很好，13直接把小米国内的份额拉高了2个点。其实我们不妨换个角度，都是1999和3999起的售价，小米目前在某种程度上确实实现了高端和中端两开花，只不过它不叫60罢了。: 小米1999和3999起售价,实现高端和中端两开花。
刚刚收到我的紫色款耳机[锦鲤附体]嗨皮这款声生不息综艺的联名耳机，颜值高，降噪效果也很好，戴上它感觉隔离了全世界: 收到紫色耳机,感觉隔离了全世界。
经常有小伙伴让我推荐手机，要是问性能强的、充电快的、设计好看的、性价比高的，我都好推荐，唯独要影像需要有样张好好对比，否则很难看出哪款更合适。笨哥选了三款有代表性的标准版旗舰小米13、一加11和11，简单拍了它们的人像和夜景样张。三款机型的影像参数见图5。人像请了工作室最帅气的单身男同事，还有小笨笨上镜当模特。白天小米13的人像美颜比较克制，对比度较高，观感不错11的面部处理偏红润，看起来更讨喜一加11的背景虚化挺好，模特质感更好。夜间感觉小米13的人像清晰度有所损失，11和一加11倒保持了清晰度，不过前者的色点偏暖，而后者则偏冷一点，整体更贴近视觉效果些。夜景带大家欣赏下重庆洪崖洞的风景，这可是现实版的千与千寻！先拍屋檐的灯笼给大家看看夜空，11的色彩比较淡，小米13的处理是把饱和度和对比度拉高，整体观感还不错一加11则有着更高的还原度，夜空看起来很干净，看起来比较舒服。接下来是洪崖洞的全貌，拍摄当天非常热闹！11画面偏亮，宽容度偏低，但细节保留不错，小米13的细节保留相对会更出色些，一加11优势在于高光处理自然，细节保留得恰如其分。一句话总结，11各场景的发挥很均衡，人像更讨喜，小米13的徕卡味印象深刻，夜景实力扎实，一加11的色彩还原精准，暗光人像的优势很明显。就我个人的拍摄需求而言，我应该更喜欢一加11一些。那么问题来了，你更看好哪款机型呢？: 推荐小米13、一加11和1加11,三款机型的影像参数,介绍。
官宣之前说的。当然也还有没揭晓的你们要不要试着猜猜看？[微笑][微笑][微笑]: 官宣发布会即将揭晓,请试着猜猜看。
4月8日华为智能生活馆勒泰中心盛大开业，这是河北最先锋华为门店，开业当天还有进店福利，现场抽奖等多重好礼，4月8日赶紧来勒泰中心华为智能生活馆畅享你的智慧生活吧！: 华为智能生活馆勒泰中心开业,有进店福利和抽奖好礼。
荣耀俱乐部@荣耀俱乐部上海浦东新区大团镇: 荣耀俱乐部在上海浦东新区大团镇
来到我家地下车库，给大家看一下华为的弱网络环境，信号有多牛！源点: 华为弱网络信号牛
华为也是牛逼，直接在头条开通了个一级菜单来宣传3千亿营销[喵喵][喵喵]: 华为在头条开通一级菜单宣传3千亿营销
云端看深圳夜景有多绝: 深圳夜景绝密
我的魅族20系列手机壳终于到了，不得不夸一下，先不说壳，就光这包装我就必须好评，非常精致，能看出来花了不少心思，很用心，魅友们都给我冲！！[赢牛奶]: 魅族20系列手机壳好评如潮
之前倍思出的这个数字插线板我一直放在桌面上用，30氮化镓21的接口，日常充一充和耳机完全够用，还有三个交流插口可以拓展。这次他们又出了一个紫色这个新配色我觉得挺好看的（从插头到线都是紫色很细节）大家喜欢白色还是这个紫色？: 倍思插线板使用30氮化<unk>21接口,推出紫色新配色。
掐对了，小米13官宣定档本月见。官方说其拥有最完美的镜头，从广角到长焦的不同镜头首次实现了一致的卓越光学能力: 小米13发布完美镜头,实现卓越光学能力。
终于收到了我的魅族20，本该发布会结束就拿到的，但因为快递的种种原因现在才收到！赶紧开箱给大家看看我的曙光银配色，好看吗？这个银色后盖非常淡雅，有一丢丢浅灰色，再配合亮银色边框和后置竖排摄像头，太美了吧！机器上手第一感受机器质感真棒，10真流畅，超声波指纹真快，那个熟悉的魅族回来了！更多产品内容，待我后续慢慢分享给大家！: 收到魅族20,收到曙光银配色,机器质感真棒,10真流畅,期待魅族回归。
小米11的小窗可玩性还是相当高的，比如秒变5[笑]: 小米11小窗可玩性高
这台手机已经无法完全打开了，因为脚链位置被摔的错位了，我准备明天去服务中心，跟工程师说我的手机屏幕花了，工程师一定会打开手机，然后屏幕就会碎掉，我就说哇哦你把我的手机搞坏了，这可咋整吧？我真是一个机灵鬼呢，不知道哪个工程师会上当。: 手机被摔错位,准备明天去服务中心解决问题。
再来一组华为60的样张，色彩呈现上华为更加生猛，尤其是日落算法恐怖如斯，就像给手机内置了一个百万后期，人像方面华为也挺强的，出片率挺高。大家看看这种成像风格你还喜欢吗？: 华为60成像更加生猛,日落算法恐怖如斯,出片率高。
2023年5月8日起，小米应用商店将不再允许仅32位包上架更新2023年7月1日起，小米应用商店将逐步清理在架未适配64的: 小米应用商店不再允许32位包上架更新
中兴啊！中兴！你学谁不好学荣耀干啥[哆啦梦害怕][哆啦梦害怕][哆啦梦害怕]摄像头上四个洞，三个假的，一个副摄级主摄: 中兴荣耀手机让人害怕
4月8日消息，根据美国商标和专利局公示的清单，苹果近日获得了一项名为测定虚拟聆听环境的技术专利，编号为。之家从专利描述中了解到，用户可能会在车上、草地上、教室里、火车上或客厅等不同场景下收听音频或者视频内容，而苹果希望耳机能够根据不同的环境，动态调整声学输出。苹果希望设备能提供更优秀的双耳音频处理，基于人耳听觉感知特性，利用计算机和数字信号处理等技术，通过麦克风和空间音频功能，在听者双耳鼓膜处模拟出与真实场景相同的声压，以期给人以身临其境的体验。: 苹果获得虚拟聆听环境技术专利,希望耳机能根据不同环境动态调整声学输出,利用麦克风和空间音频功能模拟真实场景声压,给人以身临其境体验。
电视40潮充你一定要看看！作为一款充电头，它的造型和颜值一下子就击中了我的内心，不仅可以当做充电头使用，最主要的是还可以当做桌面的复古小摆件！它的屏幕会显示充电状态，会根据识别到的充电设备来分配功率，根据颜色就可以分辨！: 充电头造型颜值高,还可以摆复古小摆件。屏幕显示充电状态,根据颜色选择充电设备。
10的系统广告在哪里？魅族20，刚更新完系统开机，挑了几个其他安卓手机广告比较重灾区的地方看了看。开机预装应用。把短视频和新闻咨询都算上，只有9个预装，相比其他安卓动不动一开机就预装20个的手机来说，魅族这个体验真的好太多，而且没有预装文件夹，就算我把预装放在一个文件夹里，底部也没有热门推荐应用显示。10不可卸载应用仅7个，除不可卸载的七个外其他应用都能删除掉。负一屏，如图2，干净的纵览，没有广告。天气和点开天气15天，无广告推荐。日历，无广告推荐。钱包，无广告推荐。运动，无产品推荐。浏览器，这里要说一下，默认是有个性化内容推荐的，但我关闭之后就是图8这个样子了，只显示搜索引擎和书签，简洁的不要再简洁。应用商店外网页下载，应用下载推荐关闭后就只显示下载应用页面了，并且安装商城外的正版也不会跳推荐到商城下载，良心魅族应用商店推荐位，搜索会有推荐，逻辑和其他家一样，但整体页面还算简洁，无硬广。上滑全局搜索，默认开启是有咨询头条的，但设置里可以关闭，关闭后只显示搜索系统内。很好，我已经感受到精简了: 魅族系统简洁,无广告推荐,无产品推荐。
干活！干活！干活！干活！！: 干活!干活!
带儿子参加活动男孩子从小就喜欢车车: 儿子参加车车活动
我好奇问他那你家买了哪些车？他说了一些，(大概有奥迪6，奥迪，奔驰，奔驰，第一代帕拉梅拉，阿斯顿马丁，大牛700，法拉利458，还有他爸妈一人一台慕尚，一台老宾利敞篷，奔驰600第一代古斯特，第一代埃尔法再到现在古斯特三代，63，两台雷尔法，威尔法，新宾利，理想，等）这就是传说中买车和买菜一样，而且得知家里就他一个孩子，所以这些车现在基本都是他在玩。玩车到一定阶段，换车频率多了，那份对旧车念念不舍的回味自然就弱了。车主说他记忆中不舍的应该就是买的第一批不带起停的那台大牛，经常半路发动机熄火或者没有动力，修也修不好。他和他爸就打算开到香港卖掉，开在路上还是犹豫不决，纠结要不要卖，很依依不舍。结果在口岸门口被人撞了，之后就想都没想就卖了。后来买车换车就变得很平常了，情绪波动起伏也不大。玩够了就换车，没有那么留恋和不舍。也许物欲带给人的满足感，就是需要不断的更新换代才能激活内心的快乐。因为工作关系，我见过太多财富自由的富二代。这个车主也不例外，不过一般家境殷实的，都是好几代人拼搏出来的结果。车主说，他爷爷那一代之前一穷二白，是靠苦力的打工人，可能就是做着搬石头，每天赚一个馒头的生活，后来才有起色，一代传承一代。我调侃他，那你从来没有为钱发愁过啊。他说，也有，小时候零花钱不够时候有这个烦恼。还有就是他印象中家里在15年股市崩盘遭受了比较大的变化，不过后来也解决了。这算是他人生中，因为钱而有过两次小小的担忧吧。很多富二代光鲜亮丽的身后也许并不需要他多努力，但是肯定有家族好几代人努力的结果。现在想想我这工作比较有意思的点是通过认识买卖超跑的这一类人群，了解他们背后的创业故事。他们均来自于各行各业，但都是这里面的佼佼者。疫情这几年身边有对实体行业怨声载道的，但做的好的那一群依旧风生水起，换车频率也很高也有对一些夕阳行业忿忿不平的，但是依旧有声名鹊起的创业者，立刻转换赛道，捷足先登。所以有时候行业的不同只是意味着去往成功的赛道长短不一，拥挤程度不同，而物竞天择的社会演变下，永远都有第一名，也永远都有最后一名。选择赛道很重要，而你想要做第一的决心和努力更重要。希望在各行各业奋斗的每一位奔跑者，少一些怨天尤人，多几分锲而不舍，因为也许你的竞争对手不只是这一代人。世界很美，而半山腰太挤，纵有疾风起，也愿顶峰相见，在这俯仰之间定乾坤！最后八卦了下他的私事，目前还没结婚，希望他性别不要卡的那么死，毕竟我这男粉多于女粉！: 富二代车主讲述创业故事,曾因买豪车、买奔驰、买跑车、买旧车、换车经历。家中有多位富二代,但缺乏更新换代才能激活内心的快乐。
这是谁家小摩托！！太想去海边啦: 寻找小摩托海边
我这6车机，又又又又又又又又又又又又又又特么出账号重置的了。（你们可以先回顾下之前）还是个人状态登录着但个人设置全没了。下载的高德地图软件也没了。我费劲半天调整的首页卡片顺序和按钮功能也没了。最夸张的是，连我连过蓝牙的手机都没了[哆啦梦吃惊][哆啦梦吃惊][哆啦梦吃惊]这不就是标准重置了么。你要说登录状态掉了，所以没了，还能理解，但现在是状态没掉啊，还登陆着，但个人设置重置了，这太操蛋了。我就想上车顺手位置启动对应功能就这么难么？奥迪这破逼车机什么玩意啊，真烦死了。: 奥迪车机个人设置重置,连蓝牙手机都没了。
希望比亚迪的工厂能和富士康一样多: 比亚迪工厂能和富士康一样多
从郑州收了辆6开回武汉，这车就得坐后排，让司机小张开车。: 6开回武汉,后排让司机开车
一个亿港币的9111。[哇][哇]: 9111港币
進擊的12@進擊的12匿沓曳@匿沓曳我是小铮同学@我是小铮同学学长@学长: 12匿沓曳和我是小铮同学。
就离谱，不知这是哪个鬼才做的对比图，单这么来看的话五菱完胜法拉利，没毛病吧？: 鬼才对比五菱胜法拉利
视觉上比迈凯伦帅[好喜欢]: 视觉比迈凯伦帅
为了发挥出大揽胜的真正性能！我决定！大白天叫一个代驾舒服了广州: 代驾大揽胜,性能出色。
宝马的双门车，数字越大，越不实用。2系后排最大，8系最小: 宝马双门车数字越大越不实用
不喜欢新鲜感喜欢一切老的事物老的人通过时间堆积的往往反而更真实一些: 堆积时间更真实
特斯拉充电速度实测！: 特斯拉充电速度实测
种草了五菱缤果这个奶咖白的颜色太喜欢了，车身可爱又复古，喜欢住了: 喜欢五菱缤果的颜色,车身可爱又复古。
当我拿起相机面对它，方正的车身、独立的转向灯、外露的车门铰链、横贯的防擦饰条，这些特征便是越野与硬派设计的代表。纵向的格栅、熏黑的灯组，它们与车身的标识一样正浅藏着。而锻造轮毂后的红色卡钳，阿拉法特苹果树徽章拉花，双侧边共四出的悦耳排气，又如红黑双色内饰那般张扬。抚摸方向盘处刻印的55，欣赏迎宾踏板上的透红，当我再度望向这台6355周年纪念版，心境犹如时钟分秒必争，一些事物在时机出现前就已静候，有与无才是用与否的先决。记录下这一刻，以示敬意。: 6355周年纪念版,展现越野与硬派设计的魅力。触摸方向盘处刻印的55,欣赏迎宾踏板上的透红,记录下这一刻,以示敬意。
特斯拉员工被曝私下分享车主隐私画面马斯克本人也遭偷窥贝壳财经视频: 特斯拉员工分享车主隐私视频
即将回国每天一台进口车天津中国(天津)自由贸易试验区: 即将回国每天一台进口车在天津自由贸易区
兄弟们，这个是什么车？杭州: 杭州兄弟车
谁家570娇生惯养啊: 570娇生惯养
别急，等我包完粽子下午就是调研新能源车。: 调研新能源车
好多人问我，这么吐槽特斯拉为啥还连着买三台？我觉得是因为特斯拉这个品牌很酷。你可以说一辆车很舒适、很好开、很耐用、很高级、很豪华、很科技，但这些形容词都不如酷来的有吸引力，酷是个性、先锋、前卫、帅气、时髦又有科技感的综合评价。市面上很难再找到另一个新能源品牌能用酷来形容了。而又是特斯拉目前最酷的一辆车，我现在宁愿没有辅助驾驶肉脚踩，也愿意开，就是因为开这车给人的感觉太酷了: 吐槽特斯拉,连买三辆,因为其品牌酷。
妙啊兄弟们！法国科尔马小威尼斯: 兄弟们妙趣多,法国科尔马小威尼斯。
特斯拉改造黑武士磨砂质感真的很拿捏人搭配21寸沃森大轮胎给人神秘不可捉摸的感觉你喜欢吗？: 特斯拉改造黑武士磨砂轮胎
醉了，特斯拉和在美全系降5000美金，约35万人民币。我的还没交车，不知道国内会不会降价: 特斯拉在美降价,约35万人民币
理想8和特斯拉3的内饰，你们喜欢哪个？[团圆兔]江门潮连: 理想8和特斯拉3的内饰,喜欢哪个?
三个错误认识1世界离不开中国工厂离不开中国产业链东南亚印度越南墨西哥东欧已经开始逐步蚕食我们订单2华为比亚迪已经可以和苹果特斯拉一较高下号称5牵头人的华为个人终端设备没有5功能3双循环主要靠内循环经济能活外需丢失内需压根起不来太看重国际对我们的依赖看轻我们更加依赖国际: 中国工厂离不开中国产业链,东南亚蚕食订单,华为手机没有5功能,双循环主要靠内循环经济,过于依赖国际。
特斯拉标烙印模已上架官方商城，售价480元。大可不必了据官方介绍，该烙印模可于多场合使用。设计灵感源自活动，配备有定制研磨、手工加工的食品级不锈钢头，以及坚固的榉木手柄。非常适合向汉堡肉饼和面包等食品，或木材和皮革制品天然材质等印制标志性标。: 特斯拉标烙印模上架商城,售价480元,多场合使用。设计灵感源自活动,适合向汉堡肉饼等食品和面包等领域使用。
子弹飞了5个月了，老铁: 子弹飞了5个月了
100块钱的油，11辆紧凑型轿车谁能跑最远，为此包下一座城，把油耗这事有个定论，包下一条高速，把主动安全测了，比亚迪秦车身架构老不老咱不说，这性价比确实实打实，而且最好的混动确实不在丰田，驾驶辅助没标配的车我们也找高配测了主动安全，有辆车能全方位无死角的垫底也是蛮佩服: 11款紧凑型车主动安全测,比亚迪秦性价比高,适合混动和无标配车型。
美国特斯拉降价了！3降1000美元，降2000美元，和降5000美元，国内降价还会远吗？最近锂电池价格暴跌，电车降价潮也快来了！想买特斯拉、3和各种纯电车的建议你等等，之前一直传的15万的也还没发布，特斯拉即将掀起的新一轮的新能源内卷: 特斯拉降价,将掀起新能源内卷。
我选了个最低配，但是确实吊打。信仰买特斯拉，识货的买智己，你们怎么选: 信仰买特斯拉吊打买智己
大家好这里是反诈阿岳欢迎收听喜欢您来的喜欢您别来特别节目喜欢您来吧[兔子]: 反诈阿岳特别节目欢迎收听。
2024款马自达90定位于中大型，新车长宽高分别为，而轴距达到了3119，这个块头完全可以跟宝马5、奔驰跟奥迪7相媲美，空间绝对是一大卖点。动力部分带有两套系统33六缸后驱和25四缸，33最大功率达到了345马力，混动系统最大功率为327马力，峰值扭矩都是500，均采用的都是8变速箱，换算成人民币的话售价在34万到44万之间，是不是很期待国产？: 2024款马自达90将国产,空间可与奔驰、奥迪7媲美,售价34万到44万。
厉害了，吴彦祖12岁帮爸爸选的这辆粉色保时捷911这个月起会在洛杉矶彼得森汽车博物馆展出一年（全球只有40辆入选），去年还登上保时捷杂志，想起当年他挑中这颜色还遭到了同学的嘲笑，时间证明谁才是久经考验的小众独到好品味[送花花]: 吴彦祖为爸爸选粉色保时捷911展出,遭嘲笑。
楼如其名，这栋大楼应该没少氪。能把杭州颜值担当地标拿下当总部，路过的极氪车主也感到欣慰。: 拿下杭州颜值总部,极氪车主欣慰。
小米前员工潘达曝光了小米汽车配置这样的硬件配置，起售价2999万，你们会选择支持一辆吗？: 小米汽车配置曝光
第一次和车企合作，我爱上海: 支持与车企合作,我爱上海。
雨雪天气，骑士们一定要做好防滑措施。。。。: 雪雪天气骑士需做好防滑措施
你们要的升悬架胎的越野跑车来了911。2288万，全球限量2500台。那个碳纤维机盖太轻了，好爽。: 2288万越野跑车911上市
如果20多万能买奥迪6，刨除支持国货的原因，我还是觉得买6好。这车，无论质感还是操控性，基本上是普通人的天花板了。低调奢华有内涵。: 20多万买奥迪6,觉得买6好。
2023纯电动汽车排名前十，哪款纯电动车比较好: 2023纯电动汽车排名前十
特斯拉这个要是坐实了，那实在很难收场呀: 特斯拉坐实难收场
仰望9这比例有点意思啊，就看实车了。比亚迪很多时候车型比例都特别好，所以伪装时很震撼，但真车往往觉得有点过度设计，亮相了反而不如谍照好看[污]期待9最后定稿的样子: 比亚迪9比例设计令人惊艳,期待最后定稿的样子。
