结局让人舒服！这精神状态进去不得尿检一下吗？: 精神状态需尿检
这次出差带的2，用写个脚本啥的还是非常方便，比笔记本轻便。可惜没6，不然直接共享流量体验更佳。: 出差携带2,写脚本方便,但没6,共享流量更佳。
今早手机圈可真忙阿，小米、荣耀还等什么呢！: 小米、荣耀手机忙
魅族哇，这个秒磁抗菌手机壳也太好看了吧！爱了爱了: 魅族秒磁抗菌手机壳
定档了！420号发布！届时会发布，2，2等，又是一场科技盛宴: 420号发布,科技盛宴!
光学，是影像的原点，光学问题用光学技术解决。徕卡光学镜头小型化实现重大突破，小米徕卡，让移动设备具备出色的光学表现！: 小米<unk>卡光学镜头小型化实现重大突破。
云电脑可以实现办公自由吗: 电脑可以实现办公自由吗
你有什么小妙招？ 如今，我们的生活和工作都离不开手机。在高度依赖手机的同时，手机电池不足也让很多人患上了严重的续航焦虑。相关数据显示，近25的调查对象承认自己每天为手机电量问题焦虑近一半人表示自己受低电量焦虑困扰超过5年。为缓解手机电量焦虑，不少朋友都有自己的生活小妙招，部分手机厂商也研发出了新的电池材料和超级快充等技术破局。你觉得什么样的方式最有效？评论区留言: 手机电池不足引发续航焦虑,部分手机厂商研发新技术破局。
邻居家又打钻了，实践证明这款耳罩的隔音效果还行，只是有点勒脑袋（也可以调松紧），戴上后电钻声就成为可以忽略的底噪了。: 邻居家打钻耳罩隔音效果不错
顶配版或将命名为152、全系屏幕采用灵动岛设计3、15和15屏幕增大至62英寸4、低阶版主摄提升为4800万像素，顶配版或搭载潜望式长焦摄像头。5、高阶版搭载17仿生芯片、8运存，支持。6、全系配备接口，高阶版支持30或雷电3。7、高阶版或将搭载电容式按键。8、低阶版新增粉红色和浅蓝色，高阶版新增全新金色和深紅色。注低版指的是15和，高版指的是15和15: 顶配版或命名为152、低阶版主摄提升为4800万像素,配备17仿生芯片和电容式按键。
什么是云电脑？可能许多人都会在视频网站或者一些其他的平台看到这样的画面，那就是一个人使用手机竟然安装上了操作系统，并且还能够刷视频登录甚至还能够打游戏: 手机安装操作系统,可刷视频登录、打游戏。
我自己不买，但是我可以买来抽奖，五一大促快到了，15能赶得上吗？: 购买五一大促,赶得上吗?
谢谢老公送的手机，回家还会继续打你耳光董明珠丈夫@董明珠丈夫: 感谢老公送的手机,还继续打你耳光。
真有点像呢这个屏幕区域横向涂黑的设计是好的设计，一体感更好，方便搞多种配色。: 涂黑屏幕区域,方便配色。
每日一问，今天小米预热了吗: 小米今天预热
外屏萌宠，忍不住多看两眼。[新鲜好柿]: 多屏萌宠,多看两眼。
最近沉迷自己做咕卡手机壳[干饭人]这不得给咕一个周边背卡[喵喵]咕卡名字为星汉灿烂之擦枪走火后吴露可逃[干饭人]: 沉迷手机壳,吴露可逃。
这没白买，机场候机的时候拿出来就能干点活，还是挺好的: 购买后的机场候机状态不错
6也是计划做两款，波纹的月底搞定应该问题不大，瓦楞这个月搞不定就下个月。壳我们合作的是行业1的工厂，不太需要我操很多心。是另一个工厂做，需要我多操心: 壳公司计划做两款波纹,月底搞定问题不大。
曝光的小米13价格和我猜的差不多，小米1313起售价涨了300，超大杯和大杯的定位、影像差距在那摆着，小米13同容量版本不涨个三五百反而不正常，不过8256起步是认真的吗？没必要为了起售价好看留个8版本，建议取消。: 小米13价格涨300,建议取消8版本。
磨砂车衣搞定！磨砂黑帅不帅: 磨砂车衣搞定
上热门啦，功夫不负有心人啊9个月的等待，不容易，实属不容易[苦涩]: 功夫不负有心人,等待9个月。
云体验特斯拉21的加速那我表情应该是这样[污][污]: 体验特斯拉21加速
玩的就是西海岸，比亚迪云辇，概念平台上海: 比亚迪云辇概念平台在上海
特斯拉被勒令在美国种族偏见案件中向黑人前员工支付320万美元赔偿，曾因种族被骚扰。: 特斯拉因种族偏见被罚赔偿
搞了一台蔚来7的试驾车，颜色是蛮骚的，这两天忙还没来得及试。悬挂升级后相当不错，路面过滤蛮好。等试过了再说。: 试驾蔚来7
比亚迪王总说，自动驾驶是一个噱头。资本市场喜欢炒作汽车的智能化和自动驾驶，这是一场骗局。汽车本质上是一个代步工具，满足人最基本的出行需求，包括安全、舒适、快捷，所谓的自动驾驶和智能化都是噱头。苹果发布，带来了智能手机，很快智能手机颠覆了传统手机。造车新势力，给车加上个自动驾驶或智能系统，想颠覆传统汽车，这根本不可能。即使以后汽车有了智能驾驶，它最终还是一个代步工具，想依靠智能系统颠覆传统汽车，完全是痴人说梦。特斯拉的成功并不是自动驾驶，比亚迪的成功也不是自动驾驶，是在制造工艺上更加先进，能够极大的降低用车成本和制造成本。: 比亚迪王总称自动驾驶是噱头,想颠覆传统汽车完全是痴人说梦。
其实比起期待小米汽车我更期待56，毕竟参与感特别强，之前设计大赛的时候没这技术，但是起名我可是妥妥的没有放过: 小米汽车期待56
再跟大家多叨叨几句今年车市特别差4店的竞争特别激烈他们在疯狂内卷这时候给我们的机会就来了4店现在面临的不是盈利问题而是面临生存挑战所以他们需要留住顾客怎么留住？你上保险我送你保养你出险我给你返利你自费修车我给你折扣而且给的非常多我们也不要觉得不好意思一定要臭不要脸一点多薅一点绝大部分家用车1520这种送保养用不了多少机油几瓶机油加人工这是最便宜的项目了但是送保养到日子你就得去找他保养就有进店量了一来二去混熟了修车出险找他们不就卷成功了吗？哪怕去售后多换一个空调滤芯他都赚回来所以4店越卷越好他们卷我们薅不要客气吃拿卡要拿出吃自助餐的劲头吃他们喝他们才是对的: 车市特别差,4店竞争激烈,留住顾客需要留住顾客。
刚发布的比亚迪秦冠军版，100电机，180扭矩，510公里，57度的磷酸铁锂电池，最高车速130，050要55秒，0100没敢标，1598万会有人买吗: 比亚迪秦冠军版售价1598万
埃尔法作业来了！包子有馅不在褶，但是我的包子必须褶子和肉馅都得有！外观蒙娜丽莎，地板换大理石，隔音全套。音响，氛围灯。黑车黑内，绝对黑武士！: 埃尔法作业,包子必须有褶子和肉馅。
合众张勇@合众张勇说的没毛病，没看结果就叽叽歪歪。跪久了没办法，国产跑车敢做出来并且开卖就是个勇气: 合众张勇批评国产跑车
奔驰最高降价20万！湖北车市价格战持续传统汽车大省发生了什么？奔驰最高降价20万！湖北车市价格战持续传统汽车大省发生了什么？奔驰降价最高20万，这是疯了吗？: 奔驰最高降价20万,湖北车市价格战持续。
华为宣布不造车，那问界要怎么办？话题拆分1，上周新车上险盘点，燃油车起死回生，是否会止住颓势。2，华为强调不造车，那问界要怎么办3，传统品牌库存无力解决，如果购置税减半落地谁会是最大受益者？的微博直播华为宣布不造车，那问界要怎么办: 华为宣布不造车,问界要怎么办?
引发热议，其实早在秦朝，中国就出现了最早的高速公路。我国高速公路已四通八达，高速公路上的路牌，你都认识吗？一起来认识(央视新闻)淮安: 高速公路起源于秦朝?
2023年最满意的一笔消费，负责任的说8各方面全都完胜埃尔法。不信可以自己去试: 2023年满意消费,满意于埃尔法。
在外国问答网站上有网友提问有汽车吗？获得点赞量12的回答事实是根本不存在！1991年苏联解体后，美国政府捏造了。美国政府想要管理世界，让全世界的人都成为它的仆人。美国需要一个对手，这样才能宣称世界的安全。因此，美国向世界各地派遣军队，以使世界保持和平。这只是一条电缆。你可以看到我的国籍是，但实际上我在美国边境的某个地方。美国的史学家用语言编造了这个伪造对手的千年历史。你可能曾经去过，但实际上载着你的飞机或轮船正在绕圈飞行，把你带到美国边境的一个偏远地区，那里可以找到许多说汉语的人。语言是玛德真羞耻印第安方言和说印第安方言的人都是美国政府雇佣的。事实上，并不存在。: 美国向世界各地派遣军队,保持和平。
目前供应链对理想的期待非常高，也是新势力里面的扛把子！等7简洁的产品出来打真正高端的性价比，战斗力还是挺强的！接下来目光应该看看理想的纯电动行不行了，上海有好多同志在加班加点！: 期待供应链高端产品,上海有好多同志加班加点。
上海车展，魅族也来了！领克08搭载的亿咖通安托拉1000正式亮相，到时候去看看: 魅族车车展发布,搭载亿咖通安托拉1000。
弱弱的问一句，特斯拉降价我能解读利好新能源车产业链吗？: 特斯拉降价利好新能源车产业链?
出发！兼顾安全性与操控感，帅气拉风又不失内涵一辆让人心动的电车，更多令人期待的旅程别犹豫，让雷克萨斯全新陪伴你未来的美好时光吧: 雷克萨斯全新电车出发,兼顾安全性、操控感,全新陪伴你未来的美好时光。
一直想不通汽车为啥会有人买国产的: 国产汽车受欢迎
高合第三款车马上要出了，品牌全部车型月销量能不能过500台，就看这第三个车了。: 三款车即将上市,月销量或超500辆。
日本技术宅团队开发的机械外骨骼[哆啦梦吃惊]看着好爽好带感！！: 日本技术宅推出机械外骨骼
新能源下半场，看奇瑞！新能源战略重磅发布决胜新能源下半场重磅发布新能源战略: 奇瑞新能源战略发布
你永远不能相信一个奸商哈哈哈亢岳@亢岳蒙蒙同学冤种哥@蒙蒙同学冤种哥姚昱: 亢岳被指控奸商
新能源之夜新战略新品牌新技术新产品全面亮相创变而来: 新能源新品亮相创变而来
媳妇昨夜里按着我吧新8订单的车里车外和车钥匙都改成了白色: 新8订单改白色
孩子会是女性梦想的羁绊吗: 女性梦想的羁绊
最近新提车没多久的比亚迪海豹底盘和车身各处生锈的很多，大家注意一下。这种严重锈蚀的车就跟泡水车没啥区别了，一文不值: 比亚迪海豹锈蚀严重,需注意。
《为什么巴基斯坦人想要印度汽车？为什么汽车在巴基斯坦如此昂贵？》要视频翻译不？要翻译我去弄弄: 巴基斯坦人想要印度汽车,需要视频翻译。
遛娃时正好看到一个比亚迪的腾势展台，看了一下9，一点简单印象1地板被电池抬得很高，大约膝盖下沿水平，介于和欧式厢货之间，上下车便利度一般。2凭借很大的高度、以及可以偷空间的玻璃顶，第二排头部空间良好，坐姿就偏低一些。3第二排的各种功能（包括坐姿和位置调节）都整合在小触屏里，所以需要盯着、也无法快速调节。4二排座椅舒适度还不错，后头枕高度偏低。5宣称是二三排同等待遇，第三排腿部还行，头部空间缩水还是非常明显的，高地板车顶夹击。6第三排下面没挖澡盆，也没有侧翻功能，为46前翻，折叠后在行李舱形成巨大的鼓包，空间水平、灵活度受到影响。7第二排出风口你会在许多自主品牌上见到同样的零件，它能追溯到90年代。8没有快充的最低配据说也有排产，看参数还挺猛。9可靠性未知。大约就是这样。: 比亚迪腾势展台体验报告
董哥感觉哪吒这外观设计有点过于复杂了吧，不过20多万的价格，可以辆跑车，还是蛮香的[喵喵]哪吒将于明天正式发布，这款车是一款双门四座电动跑车，外观设计辨识度极高，并将于2023年上半年上市交付。外观和哪吒看起来有点相似，造型狭长的头灯组设计十分吸睛，内部所采用的光源布局同样很特别。前包围处是现在很火的三段式设计，能很好的优化车辆的空气动力学表现。同时，新车前机舱盖上同样配有通风口，气势非常足。新车长宽高分别为，轴距为2770。流畅的车顶线条和双门设计，颜值还蛮高。值得一提的是，新车的侧身线条，层次感十足，让它在电动车市场里更出众了。车尾部分，新车的设计看起来比较低调，尾灯组并没有采用当下流行的贯穿式设计，而是配备了环形灯带，同时，车辆后包围处采用了与尾灯组类似的光源布局。此外，为了进一步迎合车辆的跑车定位，新车还将配备电动扰流板。关于新车内饰方面，结合之前官方发布的渲染图来看，新车采用的是现在电动车市场很火的极简式设计，一块纵向分布的中控大屏占据了车内的位，在中控台上，只能够看到平底运动方向盘、液晶仪表、中控大屏，并没有太多装饰性的元素。同时，作为一款电动跑车，也采用了经典的无框车门和运动座椅的组合。最后再来说说动力方面，新车前电机最大功率为170，后电机最大功率为170。之前哪吒车身官方数据还显示，这款新车续航里程分别为560（工况，后驱）和580（工况，四驱），后期或还有望推出660续航版本。: 哪<unk>将于2023年上市,采用极简设计,外观设计具有极简风格,车内配有通风口,续航里程约560km,配备环形灯组和尾灯组。
4月开启新的[锦鲤附体]小活动真正让人眼熟，平日疯狂爱互动的小红车迷有机会了！我们会在4月底任一时间截图粉丝互动榜，在10名中随机抽取5个小红车迷，送上本月我们的神秘新品快来和唠唠嗑，来猜猜本月新品（所有活动最终解释权归所有）: 锦鲤附体小活动,随机抽取5个小红车迷,送本月神秘新品。
比亚迪竟然实现了汽车三轮行驶功能，在仰望9一个车轮意外掉落的情况下，也能正常行驶，这个技术你们感觉如何？: 比亚迪三轮行驶功能,仰望9个车轮掉落也能正常行驶。
中国人自己的智能车身控制系统，打造中式新豪华。话说比亚迪在这块还是挺坚持的，包括驾驶室里用中文标识，车型命名等。: 比亚迪打造中式新豪华
电动汽车和越野车之间会产生什么样的奇妙反应？在西方有借助电动化复活的悍马。那么在中国有没有一辆能够代表东方越野态度的纯电越野车呢？猛士科技最新作品猛士917即将登陆上海车展，越野电动中国猛士，又会引领什么样的东方越野风潮呢？: 猛士917将登陆上海车展,电动中国猛士引领东方越野风潮。
转发并评论本博，说说你对比亚迪云辇的期待与祝福，4月25日抽10位小伙伴平分2000元 京东卡，再抽2名幸运鹅各送出宋车模 微博抽奖平台@微博抽奖平台: 分享亚迪云辇期待与祝福,赢京东卡和宋车模。
今年零跑01推出了起价不到15万元的版本，38号美系性能控@38号美系性能控也进行了测试，发现虽然价格降低了，很多方面的表现却比老款车型反而有了提高，敬请观看号车评中心: 零跑01推出美系性能控,价格降低表现提高。
极氪在轮胎上可是够下本的，配的是马牌空腔海绵自修复轮胎你受得了吗？还记得我之前在哪个车上看到过同款吗: 马牌自修复轮胎配马牌空腔海绵
看了一堆车媒的奔驰所谓3自动驾驶体验我只能说第一次见这么吹低速功能的车道内小范围绕行、场景躲避太基础科目了吧？想看稍微高级点的变道策略和上下匝道，结果一概没有。如果这都是自动驾驶，新势力的都可以算是5了: 奔驰3自动驾驶体验令人失望
一组疑似坦克500特别版伪装谍照。新车相对现款车型进行调整，整体要更加野性。: 疑似坦克500特别版伪装谍照曝光
布加迪终极跑车1616心脏开发了1600，最高速度能够达到420公里小时。: 1600心脏跑车,速度高达420公里。
汽车的电动化时代，我们赢了，诞生了比亚迪、中创新航等一大批优秀的企业。但是，在智能化时代的新战场，不能被卡脖子，缺芯少魂仍待突破，中国需要培育自己的高通和英伟达，手机芯片曾经被卡脖子，付出了巨大代价，但是芯片不能重蹈覆辙了，这是我们对行业提出的严肃警醒。我们要对逆全球化有充分的估计和准备，我们是全球化坚定的支持者和维护者，但是过度相信全球化分工一定会付出代价，因为逆全球化的力量非常强大。: 智能化时代,中国需要培育自己的高通和英伟达,芯片不能重蹈覆辙。我们要对逆全球化有充分估计和准备,过度相信逆全球化的力量非常强大。
据说王传福在比亚迪发布会上说哪怕掉了一个轮子，云辇系统，也能让车子平稳行驶。: 王传福称云辇系统让车子平稳行驶
有没有天堂地狱代开户的业务员联系我，我想明天给自己提前烧个独栋别墅，外加一台奥迪4，一台迈巴赫，一台特斯拉，还有两只猫猫三只狗子。免得哪天过去了还得为这些东西奋斗: 地狱代开户提议:烧别墅、奥迪、特斯拉、狗子和奥迪。
新奢全能极氪今晚2000正式登场一起来看吧！: 奢全能极氪登场
比亚迪在泰国连续3个月新能源销量第一: 比亚迪连续3月新能源销量第一
昨天晚上在凯旋车主群看到官方发的一个视频真的恶心坏了，作为连买两台凯旋车的车主第一次觉得丢脸。好奇这种低级营销的策划到底是谁想出来的？英伦凯旋摩托@英伦凯旋摩托: 英伦凯旋摩托低级营销引争议
2023年13月新能源厂商零售销量排行榜1、比亚迪辆，同比80，份额3882、特斯拉中国辆，同比269，份额1053、广汽埃安辆，同比79，份额614、上汽通用五菱，辆，同比262，份额595、长安汽车辆，同比98，份额4613月，比亚迪市占率逼近40，而长城汽车零售量同比下滑397，小鹏汽车下滑473，奇瑞下滑678: 2023年13月新能源厂商零售销量排行榜
当年买劳斯莱斯的人偏爱黑外红内小金人，看看现在的最新稀有（最贵）的颜色，饱和度拉满，彩虹糖开会，时代变了朋友们！: 购买劳斯莱斯者偏爱黑外红内小金人,最新稀有颜色令时代改变。
极氪今晚2000发布可惜航班延误，无缘发布会现场[苦涩]之前就看过实车，细节做的确实很到位新能源市场缺这样一台精致的小车看看能给到什么惊喜价格了: 氪氪2000发布遗憾,缺精致小车,价格惊喜。
之前问界5降价，官方送了12万积分补偿，大概值12万块，一直不知道怎么花，昨天@提醒我50上架积分商城了，今天赶紧把积分都换成了设备，一台手机一个平板，加之前换的充放电套装。等手机和平板到了以后就让趣评测闪电@趣评测闪电上架趣评测商城卖，电子产品套现折损最低。: 积分商城上架趣评测商城卖,电子产品套现折损最低。
在2023年的时间节点上，大众朗逸还具有多强的竞争力呢？本集38号美系性能控@38号美系性能控就为大家详细分解号车评中心: 大众朗逸竞争力强大,38号美系性能控详细介绍。
问界汽车近期低迷，为什么依然看好华为汽车业务？最近问界没有去年那么气势如虹，一些人发出华为汽车业务不行了的声音，这其实属于目光短浅而已，不了解华为的布局。华为汽车业务有三个业务模式，普通供应商模式，比如云业务、、车钥匙、汽配等合作供应商，主要是智慧座舱、电机、自动驾驶等高阶合作最后是全程参与设计、质量管理和汽配等的智选车模式。当前华为最成功、影响最大的是智选车模式，目前要求就是智选车模式不要采用华为品牌。但是今后会是问界赛力斯、问界江淮、问界奇瑞、问界北汽等汽车标法，作为最早合作的赛力斯肯定收益最大。这个标法和蔚来江淮汽车标法差不多，区别在于车的物权和主导权。但从某种意义、不是完全准确来说，你可以认为问界就是华为的汽车业务品牌。就像荣耀曾经是华为线上手机品牌，当然主导权和物权不一样，问界是华为高度介入但没有汽车物权的，但华为有巨大的管理权限，比如质量不合格不能上市等。虽然当前看起来比较困难，但为什么还是华为这个业务会成功呢？第一，华为的研发能力领先，年投入百亿研发费用，这在国内是相关领域是独一无二的。余总在电动车百人论坛上提到，华为要在智能座舱、智能驾驶、智能网联和软件定义汽车这4个领域做到全球领先。在研发上，华为吹的牛很少没有实现的能实现的吹牛叫目标，不能实现的目标叫吹牛，余承东是定目标。只要这些目标实现了，那以后汽车没有达到华为智能座舱和自动驾驶能力的，体验就会差一级的。华为估计会把自动驾驶分等，哪怕较便宜的车体验也会很好。而且华为不仅仅在智能化发力，在快充已经推出600的快充桩，当然这些技术都是成对出现的。以后华为快充可以5分钟超200公里里程，10分钟就差不多400公里了，冲个电时间等于上个洗手间后又可以继续赶路了。第二，华为的流程对汽车非常合适，会有效的改进汽车质量。当年任总一度准备把华为出售，就是想把钱拿去搞拖拉机等领域，当年可能后续也会搞汽车，因为发现流程对这个领域很贴。华为对质量非常厉害，一个汽车平台被华为改进几次后质量会非常强悍，从业界质量评估看现在问界已经超越其他厂家了。实际上图4上都是红榜，有的厂家没有上来是平均以下的，差距很多倍。第三，华为是一个善于总结和改进的组织，小看华为的，最终都被市场毒打。华为手机的历史就是这样，如果打开十年前手机，基本上都是说华为手机这不行那不行，华为没有思维做不好手机、国产手机不能超过3千元天花板云云。结果华为创造了一个又一个奇迹。就是因为华为是一个非常善于学习的组织，哪个地方不足提升那块，最终变成一个六边形战士一样。汽车也一定会走这个路子，现在问界车机是业界天花板，很快自动驾驶也会是业界天花板，然后电机也会是业界天花板，充电也是业界天花板等等，一个一个拿下，最终问界一定是非常牛的存在。: 华为汽车业务成功关键在于研发能力领先,未来可能成为汽车领域领先。
特斯拉发行说明，取消了强制单踏板模式，将动能回收的强度选择权还给了用户这本来就是交给用户去选的事情，不能强制: 特斯拉取消强制单踏板模式
我车右边是墙，所以我往右多让了让，然后左边来一车就停成这样，这个故事告诉我们: 车车停成这样,故事告诉我们。
两台奇怪的，混进了赛道极速拍档: 奇怪的拍档混入赛道
汽车作为一个方便我们生活的工具，它的使用成本和便利性一定是影响购买的很大因素。以北京为例，当初大家买新能源车，大部分是因为好摇号，日常使用和维护成本低，毕竟汽油号排队能排到你绝望，而且新能源车还不限行，这就是一个太大的吸引力了。但我一直以来的顾虑就是电池在冬天的北方是否抗冻，充电对于没有固定私家车位的车主是个麻烦事儿。最近又听说，要取消绿牌的特权了，和汽油车等同待遇，也就意味着新能源车不再有购车补贴、摇号没有优先、马路上跑也一样限行。这样一来，可能会出现两个现象一个是实施前电车购买量会暴增，都想抢在优惠取消前赶快享受一拨红利的尾巴。二是有部分人就会采取观望一阵子再决定或者干脆改主意。你呢？你怎么想？: 新能源车购买成本高昂,摇号限行可能导致前电车购买量暴增,电池在北方是否抗冻,充电对于无固定私家车位的车主是个问题。
今天把宝马5跑出来百公里72的油耗，除了看道路拥堵，车速，还得看脚法，越来越有人车合一的感觉了，可能油耗还能进一步下探: 宝马5油耗降低,与道路拥堵有关。
2023年第一季度，特斯拉全球生产了超过44万辆电动车，交付了超过422万辆电动车。我们将继续向针对不同区域市场更加均衡的批量生产过渡，其中包括正在运往地区（欧洲中东非洲)以及亚太地区的车型。特斯拉将于2023年4月19日周三市场收盘后公布2023年第一季度的财务业绩。: 特斯拉全球生产超过44万辆电动车,交付超过422万辆电动车。计划于2023年4月19日公布财务业绩。
极星将在本届上海车展中带来旗下全系产品，其中4将迎来全球首发，2024款2也将首次亮相，另外此前发布的3也将会与广大消费者见面。: 上海车展:星星全系产品发布,其中4将全球首发,2024款2首次亮相。
今天是中国第一辆桑塔纳下线40周年作为一个上海徐汇小囡桑塔纳在我童年记忆里有非常深的记忆它的出镜率在我的小学时代，实在太高了方方正正的外观以及十分耐用的特点给我小时候留下了非常深刻的印象丝毫不输小学时候天天停在门口的同学家的白色沪156以及当初在岳阳路小学门口见到的各式各样的九十年代进口车真的很怀念那个时代长大以后拥有一台化油器版本在我初中的时候一直是梦想如今也实现了一晃到了2023年即使现在它的中国故乡也越来越难见到它驰骋在路上但是我永远不会忘记它上海: 中国中国第一辆桑塔纳下线,在童年记忆中的回忆。
提了理想7以后，本来想做理想和蔚来的车机对比，但是提到车机也属实绕不过鸿蒙车机。干脆我就借了一辆问界5纯电版，三车对比，看看谁的车机最好用？: 试驾问界5纯电版,三车对比,谁最好用?
钟欣潼孔雪儿蒋梦婕同框看秀: 钟欣潼孔雪儿、蒋梦婕同框看秀
理想8比理想强太多了，如果预算选，辅助驾驶对于我个人来说非常非常重要: 理想8比理想强,建议辅助驾驶。
都说坦克300不改不如推下海，来看看这辆改装联坦克300吧！关键更牛的是，行驶本照片上的它，就长这样: 改装坦克300
3月份新能源车销量榜，特斯拉为啥这么猛？30万的价位的车竟然能排第一，而且销量高出第二名两万多台: 3月新能源车销量榜:特斯拉第一
14万级唯一纯电610续航: 万万级纯电610续航
对可可爱爱的东西真的是一点抵抗力都没有呀，白雪公主和小矮人们组成的香薰，放在车里当车载香薰也是很合适的呢: 可爱爱的香薰车,适合白雪公主和小矮人使用。
五菱靠着宝宝巴士就成为了国内第7大汽车厂商: 小菱成为国内第7大汽车厂商
经常看到一些这样的言论数码博主不懂汽车。或者汽车博主不懂手机！而且说这些话的人经常带着一种莫名的优越感。说实话，就媒体成天讨论的这些内容，只要智商正常，在网上一查就知道，我想不明白这有啥好值得骄傲的。要知道在一家研发类型的公司，搞测评的是处在鄙视链的底端，很多研发做不好的才去搞测评。说难听点，从大街上找个清洁工，你给他培训一周这些所谓的专业知识，他也很容易扮演成这个领域的大神[摊手]: 科普帖:数码博主不懂汽车,汽车博主有优越感,研发测评处在鄙视链底端。
武康路上的风景线，全国仅4台的法拉利拉法敞篷，真正的半亿神车，罚单很抢镜内地有4台敞篷拉法，一台黑色，一台黄，两台红，巅峰的时候，二手敞篷拉法开价6800万: 全国仅4台法拉利敞篷,二手敞篷拉法开价6800万。
之前我发了条微博问理想为什么这么成功，很多人都说对了，因为增程。这是不是非常讽刺？非常黑色幽默？一个新势力新能源品牌混得最好是因为能加油[笑]: 微博讽刺理想成功,新能源品牌混得最好。
税惠如何赋能高质量发展: 税惠帮助税惠转型
定位中大型纯电轿车飞凡巴赫座舱配备31前后巨幕，前排43英寸全场景智慧屏霸和后排8英寸互动娱乐屏。全车通过飞凡巴赫3矢量音效技术，配合智能交互系统和高通8155芯片使飞凡巴赫座舱具有前所未有的驾享体验。采用全融合高阶智驾系统，搭载了采埃孚4成像雷达，800万像素超高清摄像头等在内31个感知硬件，加上英伟达芯片，让智驾系统运行更加高效、可靠。飞凡7最高续航可达666，四驱版零百加速37，相比同级车型优势明显。它采用铝合金轻量化底盘、双叉臂前悬架、五连杆后悬架、四活塞卡钳，堪比欧系百万级豪车调校底盘，实现95隔振率，还有晕车舒缓系统以及可自定义的智驾风格。附上和同价位的小鹏7的对比图，大家评判一下谁是当代卷王？: 飞凡巴赫座舱配备31前后巨幕,配备智能交互系统和高阶智驾系统,配备31个感知硬件,续航可达666和零百加速37。
1、2022年比亚迪狂飙2、特斯拉的大饼不香了吗？3、比亚迪会远超特斯拉吗？详情请阅读本文来自首席商业评论，作者做镜观天。: 2022年比亚迪三大猜想
比亚迪汽车3月销售公布，共辆，包括乘用车出口辆，王朝、海洋双系列销售辆，腾势品牌销售辆。其中，腾势品牌过万，也让比亚迪真正冲入高端市场，独立的腾势4店的客户服务升一个等级，未来还有顶级豪车仰望品牌，到时比亚迪从万元到百万元有台车任用户选择大家怎么看！: 比亚迪汽车3月销售公布,腾势品牌销量过万。
看上去挺博眼球的，但这个悬架放在一台跑车上具体有啥作用: 博眼球球的悬架在跑车上有啥作用?
如何看待比亚迪云辇发布会: 比亚迪云辇发布会
能不能追上光不知道，但我想岚图追光追不追得上蔚来7、极氪001们才是大家最关心的纸面上看，岚图追光38秒破百，成绩跟电动的对手持平，最高时速210比对手更强，但看数据你会发现它的动力（，双电机四驱）不是最牛的。另外，追光宣称百公里制动是338，比保时捷制动距离短了近3米追光最大侧向值为10，比保时捷718和法拉利458都高。宣传都往超跑上靠了，动力甚至比保时捷都要强不少，所以追光是真牛还是吹牛，还得拉出来遛遛来场对比测试，觉得追光能赢蔚来极氪的扣1，赢不了的扣2: 岚图追光38秒破百,性能与保时捷相当,但追光性能不如蔚来7、极氪001。
今日赛程预告4月9日 的微博直播: 赛程预告4月9日微博直播
从来没有改变过要去的信念: 信念未改变
2023春季赛季后赛上海合创汽车北京英特尔（第二局，蓝色方）阵容贾克斯、佛耶戈、小法师、卢锡安、娜美阵容赛恩、猴子、辛德拉、霞、洛虎牙直播@虎牙直播: 2023年上海车展后赛北京英特尔阵容直播
监管者全员的生日派对也开始啦！一起为五周年举杯吧[第五人格]: 监管者全员生日派对
季后赛 平安银行第五局结束，双方阵容如下: 平安银行季后赛阵容确定
有瓜友喊话早点别咬瓶盖了，每天嚼瓶盖脑子都变傻了: 劝瓜友别咬瓶盖
下场比赛中午12点，睡是不可能睡得，就早起就是卷卷不死你们真的气死噜杨某人: 直播预告:下午12点
状态火热，第一盘直接碾过去！这盘对线就已经了: 状态火热,第一盘碾过对手
