机场航站楼门口偶遇鞠婧祎鞠婧祎这腰比我腿都细本人真的好美！！: 机场偶遇鞠婧祎
最恨的三个从其他自动跳转的拼多多评论区阴兵疯狂推送的快手极速版广告时长3060的咸鱼之王: 快手极速版广告
好消息小米13系列和万兆路由都会软件升级到7坏消息依然不支持320和6频段（不可抗力）好消息其他新特性是可以支持的坏消息其他的东西都是点缀，不会有明显提升好消息有总比没有好，终于开了口子: 小米13系列和万兆路由都会软件升级到7坏消息依然不支持320和6频段
我靠，一加2竟然只要2799元起，要知道最低配还是12运存，其他都是16，香不香？: 一加2最低配还是12运存
【一加2价格公布】一加版版版3499一加249一加27冰点散热背夹219说吧，这价格你们买不买？[]: 一加版版3499一加27冰点散热背夹219说吧
小米2潮流限定版来了！背面采用光致变工艺。幸好我没有女朋友，不然钱包又要守不住了: 小米2潮流限定版来了
【咪普利老师？】除了用吃灰健身环晾衣服外，最近玩家幺幺林还发现了健身环的另一个新用途绑窗帘，而且看上去效果还不错[]: 幺幺林发现健身环的另一用途
基于三星体验店白嫖一个多小时的体验，总结先说结论，如果你是三星超大杯用户，不管你在用哪一款，直接无脑冲23，如果你是中杯用户，那也无脑冲23，当然，如果没用过三星，想试水，那慎重[][][]续航发热流畅度，这些，继续处理器的提升，可以说是飞跃式进步，进步之大你难以想象，这也是建议你们无脑冲的理由。1屏幕，屏幕观感和上一代差不多，可视角度也差不多，手动亮度是安卓机的第一名，不会被超越，日用也会降亮度，但是不会降太多，不是很介意屏幕可视角度的无脑冲，至于23的1080，够用，毕竟屏幕小，也能换来更好的续航。2相机，23的相机，首先自动对焦终于回到四年前的水准了，不输给23了，日用不会再掉链子了，主摄画质有提升，但是不大，防抖进步超大，三杯都是，8拍摄算是地球上唯一可用的手机了，长焦几乎没提升，比不过主流的大底高像素方案，不过三星的自拍和视频拍摄都很不错。就只看主摄的话，整体比前代是提升明显的。3价格，有钱的话直接冲，没钱的话等降价，就这么简单。: 三星超大杯手机体验
笔记本电脑触控板的正确用法: 笔记本笔记本板的正确用法
一加的两种颜色，冰河蓝我喜欢: 加的两种颜色,冰河蓝我喜欢
真我5性能很旗舰，影像也很旗舰，890超强防抖来了！[][][]: 我5性能很旗舰,890超强防抖来了
其实有两个问题，取消接口后的无线充电如何保证？这是一个现实的问题还有就是价格问题？更高端岂不是意味着价格更高甚至翻倍我觉得2024年推出概念机差不多，这种价格高充电没保证的手机很难适应市场需求: 取消接口后的无线充电如何保证?
苹果和特斯拉都开始降价了: 苹果和特斯拉开始降价
网传的魅族内部，全新品牌无界手机无界汽车: 魅族内部全新品牌无界手机无界汽车
现在手机的散热越来越堆料了，真我5搭载了6580石墨烯微纳腔相变材料以及4500的3钢化，[]夏天玩游戏也不怕了！武汉新兴花园晴雅轩: 真我5搭载6580石墨烯微纳腔相变材料
系列粉映晨辉: 粉粉·晨辉
？3000预算的话买旧还不如选安卓，现在国产手机可供选择的机型比较多，而且还能体验到高刷，快充，续航等等，当然了不可否认的是要更经久耐用些，这就要看个人选择了。不知道大家会选旧，还是二手或者是安卓新机呢？: 买旧不如选安卓
一加太豪横了，投入1亿优化原神体验，打造史上最强原神手机，话说你最喜欢玩的手游是哪个？: 加太豪横了,投入1亿优化原神体验,打造史上最强手机
小米有一款型号为的5新机获得3认证，配备67充电器，据说是12系列？估计12系列应该不会有屏了吧现在高频调光屏越来越多，屏对于手机而言好像也没啥存在的必要了。: 小米5新机获得3认证
有爆料称2024年将推出无接口设计，也就是16将没有充电接口了，期待吗: 传2024年将推出无接口设计
如果有足够的创新力，和许多新鲜的功能，我觉得也不是不可以，2万块买个，好歹也要用个三五年吧？: 2万块买个好歹也要用个3五年
本来打算关机却不小心点成重启所以不得不等电脑重启完毕后才能继续关机的这一小段时间的空虚感好熟悉: 电脑关机不小心点成重启
手机塞进去就变成了发光小电视也太可爱了: 塞进去就变成了发光小电视
肯定是假的，建议一加起诉！: 肯定是假的建议一加起诉!
和我想的一样，真我5还有一个150快充的版本，拥有5000电池，充满仅16分钟[]: 真我5还有一个150快充的版本
嗯，像苹果能干出来的事儿，就像苹果干掉耳机孔一样。大胆预测，无接口采用磁吸充电，库克的精准刀法无接口设计应该只存在于身上。: 像苹果干掉耳机孔
有网友透露华为还有一款104的新品，提供6128版和6128通话版两种配置，售价分别为1499元和1699元。华为104采用一块2护眼全面屏，运行鸿蒙3操作系统，从介绍海报中的教育中心来看，该平板应该主要面向的是学生群体，同时拥有超大容量和超长续航特性。: 华为104平板谍报:一块2护眼全面屏,运行鸿蒙3操作系统
元一加2这个价格香不香？百亿补贴果然就是猛[笑]: 一加2价格香不香?百亿补贴果然就是猛[笑]
用90拍的夜景，咱摸着良心说，哥这水平可以做摄影师吗[]: 90拍的夜景,哥这水平可以做摄影师吗
一加2发布，674寸15天马屏，骁龙8处理器，前置1600，后置广角200微距，塑料边框，5000电池，100快充，双扬，轴，红外，，87，204。元元元香不香，炸不炸，买不买[]: 新机加2发布,674寸15天马屏,骁龙8处理器
189帕恰狗小音箱开箱谁能拒绝一只会唱歌的小蓝牙音箱呢: 帕恰狗小音箱开箱谁能拒绝一只会唱歌的小蓝牙音箱
3000块钱应该只能买到国行的二手1212的综合体验肯定不如3000块钱的安卓机，无论是充电速度，还是屏幕刷新率，安卓机都会有更好的体验。: 二手1212综合体验不如3千元安卓机
元宵节的月亮: 宵宵节的月亮
【折叠屏创新玩法】悬停放置，手势自拍主摄出片，全员上镜。: 折叠屏创新玩法
小米中端新机入网，经典的67快充，型号有点难破译。不过看排期，大概率是之前说那个骁龙7系迭代平台的大电池新机，性能小钢炮[收到]: 小米中端新机入网
某加做的对比图，先不说其他配置对比1，快充30无线充电2，充电这两个你会选哪个？[]: 快充30无线充电2,充电这两个你会选哪个?
系列进化历程取代系列任重而道远，能否逆风翻盘？: 进化历程取代系列任重而道远能否逆风翻盘?
华为多次遭到制裁后，苹果手机销量位列全球第二，可是即便如此，苹果罕见的来了一次降价14系列全系降价，降价幅度高达700，几乎覆盖所有门店，活动维持到4月1日，完全可以看作是官方降价了，这是要开始对安卓厂商围追堵截了？？[]年前买了新机的小伙伴，啥心情: 苹果14系列全系降价700元
大家手机都多久充一次电？: 手机都多久充一次电?
感觉每年都会有消息放出来说要涨价，结果大多数时间都是保持不变甚至还降价。这样来就能让消费者觉得自己赚到了[喵喵]但有有一说一，如果今年有钛合金框架的15，那么的最高价格记录大概率是要被打破的。: 今年钛合金框架的15,那么的最高价格记录大概率是要打破的
不管你们怎么讲，我是相信一加的！: 我是相信一加的
发现现在中端机好拼配置给力，价格厚道，那么目前主流的几款性能小旗舰你如何选择？手机: 中端机好拼配置给力
系列是不是也快发布了？期待5的经典设计延续！: 期待5的经典设计延续
固然是好产品，如果华为没被制裁，我觉得的销量会受到更大影响。给你5000块，你会选还是华为？: 给你5000块,你会选华为?
从魅族的泄露的来看，吉利这是要弄个全新的子品牌？，还是说无界只是一个品牌概念，手机还是叫魅族，车还是叫吉利？[笑]: 吉利手机与魅族汽车品牌泄露
红米60的素皮版本拿在手上的质感会比玻璃的好上不少，这个晴蓝色实物也比想象的好看。搭载的30无线快充功能，同价位中的产品还是比较少见的。但是在日常生活中，5500的大电池容量，也能满足一天一充的需求。后置主摄的光学防抖功能，友商的同价位产品都还没上，在拍的稳上，红米这一波遥遥领先了。: 红米素皮版本实物评测
一加直接取消了8的运存，其实就是学了苹果那种直接取消某个版本储存空间的做法，以前苹果出64，还有256，但是偏偏取消128，一加这是直接逼着你买12运存起步的手机。但我相信他12的版本价格肯定不会跟8一样。其实就是逼着你花更多的钱去买高配，这样一来，你买的机器价格越贵，厂商的利润空间就越大。如果是我个人买手机的话，我会优先考虑买8加256以及这两个版本。我也来问一下大家，如果现阶段买手机，你会优先考虑哪个储存组合版本？: 12运存起步的手机
已适配10款原生144热门手游[]: 适配10款原生144热门手游[]
性能手机就该淘汰8[]大家觉得现在一加的推广文案和以前有变化吗[]一加手机: 一加手机推广文案和以前有变化吗
？预算3000左右的话，还是会选择安卓的中端机，毕竟3000的话苹果11都买不了，况且11还是4。处理器方面，目前跟苹果13性能接近的有高通的骁龙888，联发科的天玑8100，价格基本在2000多一点。所以选安卓，如果你的预算在3000左右的花，你会选旧或者是二手的还是买新的安卓中端机呢？: 安卓中端机推荐
一加2延续黑洞灵感美学设计，拥有浩瀚黑和冰河蓝两款配色，均采用丝绸玻璃工艺，标志性三段式开关回归，摄像头和边框的衔接部分为不锈钢材质。搭载满血版骁龙8移动平台，在目前所有骁龙8手机中跑分最高。一加中国区总裁李杰一加不会因为成本在性能上做任何妥协，系列只用满血版，坚决不用降频版大内存是保证流畅的必要条件，没有大内存就不要提流畅，性能手机就该淘汰8内存！所以，你觉得李杰说的有道理不？[喵喵]: 满血版骁龙8移动平台
妥妥真香机了。骁龙8满血版5，15极窄曲屏。，超帧超画引擎电池管理芯片灵犀触控，同价位基本找不出第二个同等配置。完完全全是按照旗舰规格做的，2799起这个定价竞争力简直是卷王级别的，等等党不准备考虑入手一波吗？: 骁龙8满血版515灵犀触控2799起
真我5作为一款拥有双芯片加持的旗舰，散热也有着不俗的表现，双重散热材料超大散热面积的加持散热系统，在手机输出狂暴性能的同时还能为手机保持低温运行！: 我5双芯片加持散热系统
真我5这块屏幕还不错，定制的，2160护眼调光，形态是很多人喜欢的柔性直屏: 柔性直屏手机
身为自媒体创作者和电影爱好者，对移动硬盘的基础要求就是性能强悍存储容量大还要安全可靠。最近，抱着对东芝的情怀，学长入手了东芝新品移动硬盘4版本，那么这款移动硬盘到底怎么样呢？大家一起来看看吧。发布了头条文章《颜值与实力并存东芝()系列4大容量移动硬盘测评》颜值与实力并存东芝()系列4大容量移动硬盘测评: 颜值与实力并存东芝4大容量移动硬盘测评
一加对，我就是针对你的，焊门员这个门好像被踢爆了？: 加对针对你的焊门员这个门好像被踢爆了?
一加2决不妥协，即便承担高成本，也依然上了满血版的骁龙8处理器，既然是性能机，就绝不用降频。: 加2决不妥协
6标准版就搭载潜望式长焦，好评！: 标准版搭载潜望式长焦
这个问题我该咋回答: 问题我该咋回答
这么排没错吧？索尼这命名是真的乱: 索尼排第一
我靠！！！23好牛这坐山顶也能拍到舞台吧: 23好牛这坐山顶也能拍到舞台
一加在次旗舰上也放弃8内存了，对比同类型产品起售价会天然劣势，这做法挺激进的。: 旗舰旗舰8内存
新键盘，选了很久，还是觉得白色的最百搭，并且这款键盘体积还很小，日常使用也很方便。除了白色系的键盘，有些厂商的透明系列的也很好看！: 白色系键盘
10可口可乐的联名款手机大家看到了吗？从宣传片内容得知，这款限定版手机背面采用拼色设计，并且会印有可口可乐的英文标志。虽然是联名，但是这样拿出去就很像可口可乐开始进军手机市场了。此次联名手机还搭载了定制的主题图标充电动画和铃声。目前已经在印度开始预售了，不知道国内会不会上线。大家觉得这款手机的目标用户会是什么群体呢？: 可口可乐联名手机
不知道大家对这个手机品牌了解吗？虽然是小众品牌，但因为出色的产品外观设计，还是不少粉丝的。但是这个手机定价有些偏高，国产千元机的配置，价格却在45。现在第二代即将推出，据说要比第一代更高级并且软件是主要关注的一方面。所以是说硬件不升级一下吗？: 硬件不升级一下吗?
发布了头条文章《丐版和必入单品！拓展坞》丐版和必入单品！拓展坞: 头条文章:丐版和必入单品!拓展坞
这个功能安卓开发了很多年怎么说呢就是一个砍了可惜带着用处不大的功能反向充智能设备容易位置对不准反向充手机损耗大还发热不太期待苹果能做出啥新玩意有这功夫不如多提高下充电功率[]: 手机反向充功能安卓开发了很多年怎么说
桌面爆改计划: 桌面爆改计划
这个打包很危险大几千的就这么打包还好没出事[裂开]: 打包很危险大几千的就这么打包还好没出事
一加2老早我就说过，安卓手机的流畅除了优秀的软件调教外，硬件是绝对的基础。看到仍然有厂家扣扣搜搜为了压低价格出8的性能机，就觉得不可思议。这次，一加2直接12起步，大内存带来了更好的后台能力，同时也大大提升了流畅度，很赞！: 一加2直接12起步,大内存带来了更好的后台能力
一加2正式发布打几分？版售价2799元，版售价3099元，版售价3499元。主要配置67英寸2772*1240分辨率15的居中单挖孔柔性曲面屏，120刷新率（自适应），最高720触控采样率，灵犀触控，获得全球首个南德精准触控级认证，450，局部峰值亮度1450，107亿色，支持10，屏下指纹，玻璃后盖塑料中框，浩瀚黑冰河蓝2个配色，机身厚约87，重约204。骁龙8满血版531，5000电池100长寿版闪充，首发全链路电源管理芯片前置16，后置三摄50有（索尼890）8超广角2微距，域无损计算系统轴线性马达，立体双扬支持红外遥控预装基于13的13等。: 骁龙8满血版531售价3499元
荣耀80两月体验屏幕性能影像表现如何？到底能不能打？荣耀数字系列到底能不能打，今儿我们就来聊聊荣耀80的综合性能，分别从屏幕性能影像以及外观等方面进行具体测试体验。最后祝诸位新年快乐！没过正月就是年！胖胖聊科技: 体验荣耀80屏幕性能
好消息耳机有模型了坏消息不是我们做的: 耳机有模型了坏消息不是我们做的
日常被抢大龙的路过只能说抢不到龙有时候真不是手速的锅，是曲面屏它不跟手啊，对疯狂心动！真我5搭载旗舰直屏，1500电竞操控引擎，做到更快响应触控更精准，成为行业首个通过灵敏触控认证屏幕的手机。这回再抢不到龙，真就只能怪手速了吧。: 真我5评测:再抢不到龙,真就只能怪手速
所以说早买早享受晚买享折扣，不过也从侧面证明了可能是真的卖不动了，想通过降价来冲一波销量，大家觉得现在的苹果除了系统，相比于我们国产旗舰还有什么优势吗？: 早享受晚买享折扣苹果手机系统比我们国产旗舰还优势吗?
先预个热！明天新店开张还没进账但是已经准备先拨款给捧场的朋友们买做抽奖礼物。大家记得来捧场哦！！扫进可接收最新买买买消息(群暂时都满了，等我群人数扩容申请通过后再发新给大家入群啦): 新店开张,先拨款给捧场的朋友们买做抽奖礼物
一加是这么宣传2的放心玩，不怕测，随便比[]不管是主流游戏还是非主游戏，一加120帧覆盖100多款还是挺厉害的而且还在原神的帧率，游戏加载时间，地图内传送加载速度方面都做到遥遥领先[]我懂了！一加给原神交易做单独优化！原神给一加广告费！所以谁也没花钱[笑]: 一加120帧覆盖100多款游戏
魅族设计一直切的很准，无奈现在市场份额太小，加上新产品上市太晚，很难有大的销量。82处理器，62英寸真全面屏，2三星分辨率屏幕，175克机身重量，真的是小屏手机中极品，小米13是不是可以参考一下。这次小米13屏幕比小米12大一点636英寸，如果还是1080分辨率就有点说不过去了，好歹是旗舰机型，指数不能比上代低。: 小米13屏幕比小米12大一点636英寸
通话录音侧滑返回信号问题长截屏门禁应用双开屏幕指纹骚然拦截: 通话录音侧滑返回信号问题长截屏门禁应用双开屏幕指纹骚然拦截
】任天堂公开最新一期季度财报，本财年13（4月12月）期间，营业额亿日元（同比下降19）营业利润4105亿日元（同比下降131）。截止2022年12月31日，销量达1亿2255台，软件销量累计9亿9430万份。累计销量超12亿台: 任天堂2012Q3财报
据爆料，华为60系列搭载最新的31操作系统。目前31开发者预览版已经上线，按照华为的发布节奏，2023年3月份将会上线31版本，因此搭载31的60系列有可能会在3月份登场。围绕31，华为带来了全新升级的开发套件，包括开发语言开发框架编译器等等，从设计开发测试上架全流程进行了全面优化。: 华为60系列搭载31操作系统
真我5的屏幕参数来了，行业唯一的旗舰直屏，划重点，直屏直屏直屏，喜欢玩游戏的这下爽了。: 我买5的屏幕参数来了
真我5影像越级，搭载索尼890以及无损计算摄影: 我我5影像越级搭载索尼890以及无损计算摄影
系列又双叒叕整活了！这次给三体迷们带来了荣耀80三体限量版礼盒，一开机就是三体名句在你眼前还原，第一次见到这么独特的开机动画，面壁计划正式开始，就是想让我们代入面壁者的角色吧，而且作为限量版也没加价还挺不错的，荣耀这波属实用心了，是谁开始期待了我不说: 荣耀80三体限量版礼盒
一加2真机实拍，作为中端机，这边框可以的，还有高频，你们还有什么想要的吗？[]: 加2真机实拍
卧槽，谁泄漏了魅族内部，无界手机和无界汽车？看来魅族憋的大招要释放了，此前传言的月底春季新品发布会，难道会有手机和汽车一起发布？另外这个无限循环的图标还挺好看的，会不会作为无界啊，哈哈哈哈: 魅族内部无界手机和无界汽车
当然还有一点要说，就是起步线上可以嗨，本来预期买的用户也可以嗨，但是对于依然占据了不小销售比例的8128，8256，或者买个打游戏微信第二第三张卡备用机的那些用户来说，这就是更低价格买到更符合自己需求产品的选择说别人靠低存储内存配置拉低价格属于站着说话不腰疼，232向464向6128进化的时候没看到有人说这个话，怎么开始了？大张旗鼓的宣扬别人的高配谈价格并不好，如果有本事压低价格的话，低内存存储配置一样可以掏出来低价。: 大张旗鼓宣扬别人的高配谈价格
的广告很精准啊合适的地方投合适的广告: 合适的地方投合适的广告
调整价格大家该买还是买，大家都有钱。只要产品好用，价格不是问题。: 价格大家该买还是买
长安华为宁德时代联合打造，全球限量500台，阿维塔011今日完成全国首辆交付据了解，阿维塔11于去年8月上市，售价3499万元起。阿维塔11系列的联名限量版阿维塔011售价60万元: 全球限量500台阿维塔011全国首辆交付
1月销售6439辆以实力摘取桂冠，持续夯实中国豪华价值新标杆！感谢各位客户的支持！: 中国豪华价值新标杆
宝马的前脸可能将会改成大龅牙直瀑式格栅，类似倒梯形的形状咱就是说，当初大鼻孔设计一出来，几乎一边倒的被喷说丑，现在这个大龅牙看效果图也是挺难接受的，但会不会实车一出来，就又像当时的4系一样各种好看呢？: 宝马前脸可能改成大<unk>牙直瀑式格栅
【约合人民币2297万3日本开售】日前，比亚迪在日本推出的首款乘用车3正式开启销售，在日本售价为440万日元，约合人民币2297万元，续航里程485。这款车型在国内称之为元，在国内的官方售价为万元。同时，比亚迪位于日本横滨的门店也在今天正式开业，日本消费者可以在20家门店了解新车信息并预约试驾。到2025年底，比亚迪计划在日本开设100家门店，满足日本消费者了解产品和试乘试驾。（消息来源迪声漂洋）比亚迪元日本售人民币2297万，消费者不像是台中国车: 比亚迪在日本推出首款乘用车3
尝试一下，理想5轿车其实本来想整成类似或者那种顶的，但总感觉理想不是一个激进的品牌，可能传统一点，更符合理想的调性[]大家都在溜背，那就试试不溜背的正统轿车吧而且这样也能和大家想象中的7感觉拉开更多的差距你们觉得怎么样？保罗@3保罗01晓彤@01晓彤: 不溜背的正统轿车
【马自达高层长续航电动车没用！】随着电动汽车的快速发展，如今它们的续航里程也来到了一个可以与燃油车媲美的阶段。不过，马自达美国却认为，长续航电动汽车没用，我们可以理解为，他对于长续航电动车的未来并不看好。他认为，里程焦虑是那些第一次购买电动车的朋友们所担心的问题，而倘若是一位经验丰富的电动车驾驶者，那么这种担忧便会消失，而且他表示，公共充电设施也将继续得到升级，充电速度会更快。不过有意思的是，马自达并没有建设充电基础设施的计划。目前，马自达在北美市场出售的纯电动车型是30，续航里程仅为100英里（161公里），据悉，未来马自达将会推出电动车专用平台。认为，未来电动车所搭载的电池组将会更小更轻，虽然续航里程表现可能一般，但是轻量化以及一些其它的技术进步将会抵消续航问题。或许，随着技术的发展，搭载大型电池包的长续航电动车将不会被用户所需要。对此，你持怎样的观点呢？长续航电动车真的没用吗？欢迎大家在评论区友好讨论。（消息来源）你怎么看？马自达高层认为长续航电动车没用？: 马自达高层认为长续航电动车没用
发布了头条文章《比亚迪3欧洲市场获好评，刀片电池立功！》比亚迪3欧洲市场获好评，刀片电池立功！: 比亚迪3欧洲市场获好评,刀片电池立功!
【福特3赛车预告图正式曝光】近日，福特发布了一张福特3赛车预告图，新车隐藏在一阵烟雾中，仅露出了一个扰流板。据悉，新车将于3月正式亮相，预计会参加24小时耐力赛，以及勒芒24小时耐力赛。此前2022北美车展开幕期间，全新福特正式首发亮相，当时福特也发布了一些赛车的效果图，包含34等，但没有提供任何相关信息。此外，这些效果图不一定是最终设计，最终方案仍由福特的赛车合作伙伴进行开发中。动力方面，全新福特搭载23四缸涡轮增压发动机和508发动机，根据车型的不同匹配10速自动变速箱或6速手动变速箱。福特3赛车预告图，3月亮相！能在赛场上夺魁吗？: 福特3赛车预告图
【领跑兰博基尼2022年交付9233台车】日前，我们从官方获悉，兰博基尼汽车公司在2022年继续创下销售纪录，以9233台的全球交付量实现历史新高。在兰博基尼全球市场表现中，中国内地及香港澳门市场以1018台的交付量位居第二位，较2021年增长9。以637台交付量继续领跑，以370台交付量紧随其后。2022年是兰博基尼致敬内燃机发动机的一年，发布了多款新车。8月，在成都车展完成其亚太区首秀。12月，搭载10发动机的全新在北京亮相。同样于12月在北京揭幕了。兰博基尼为了提升客户体验，2022年4月，兰博基尼为订购或新车的中国客户推出倾擎随享项目，以提高客户在车辆保有期内的整体满意度。兰博基尼专属客户应用程序也于9月面向中国客户上线。客户可通过该应用程序获得定制内容。另外，在2022年6月，兰博基尼全球最大服务中心于香港落成，占地面积超过3700平方米，采用兰博基尼最新的企业形象设计理念，全面提升服务和客户体验。你猜兰博基尼一年卖了多少台车？这个数字你可以大胆说出来！: 【兰博基尼2022年交付9233台车
国产新能源汽车其实还是很能打的，在国外火爆也不是一天两天了，这两天又一个国产新能源品牌在欧洲火了，这次是因为它的电池，大家觉得国产新能源汽车是不是越来越厉害了[干饭人][干饭人][干饭人]国产新能源汽车国外再度走红，竞争力爆表，这次是因为电池: 国产新能源汽车国外再度走红,竞争力爆表
电动悍马电池2923磅，几乎等于一台本田思域的重量。[笑]: 电动悍马电池2923磅
高转青年三亩: 转给青年三亩
虽然我不是特喜欢新但这台: 特喜欢新但这台新台
网不红萌叔网不红萌叔: 不红萌叔网不红
发布了头条文章《中国电池技术遥遥领先，刀片电池出口获好评》国产汽车比亚迪出口获好评，德国汽车媒体抱团评价3（国内为元）中国电池技术遥遥领先，刀片电池出口获好评: 中国电池技术遥遥领先,刀片电池出口获好评
极氪第三款车来了，正式命名为极氪，定位级纯电，百公里加速三秒多。此外采用了无框车门无边框外后视镜以及隐藏式充电口盖设计，近乎偏执的干净利落设计，你们觉得好看吗？从豪华猎装轿跑极氪001，到原生纯电豪华极氪009，再到新奢年轻，极氪相比其他车企，在产品规划布局方面，要稳很多，一款一款的打透市场，也是个不错的策略！: 极氪第三款车来了
给中国新能源汽车长脸了！刀片电池喜提欧洲主流媒体高赞和外国网友热议给中国新能源汽车长脸了！刀片电池喜提欧洲主流媒体高赞: 中国新能源汽车长脸了!刀片电池喜提欧洲主流媒体高赞
极氪的第三款车型极氪来了，新车拥有极氪式操控3秒级百公里加速，号称级天花板，拥有2750超长轴距，提供百变魔方空间。外观上，前脸采用了极具辨识度的极氪设计语言，智能矩阵式透射大灯，隐藏于格栅之中，扁平极简的造型，营造出数字化的未来感。小道消息得知新车的售价将在20万元以上，另外预计于4月开幕的2023上海车展正式亮相，并有望在年内在上市，期待一波: 极氪来了
法拉利175（118）: 拉拉利175
捷尼赛思纯电70: 捷捷赛思纯电70
【今年有戏吗？车企急着上马城市辅助驾驶】城市高阶辅助驾驶今年能实现落地？日前，理想汽车李想致员工的内部信在网上曝光，其中提到，基于感知和模型，实现端到端训练的城市导航辅助驾驶（不依赖高精度地图）会在2023年底开始落地。实际上，进入2022年下半年，以特斯拉毫末智行华为小鹏蔚来为代表的车企和自动驾驶企业就先期推出了各自的城市高阶辅助驾驶系统，也公布了交付时间。该功能是衡量汽车智能水平的试金石，如果真能如企业宣传般得到落地，那意味着汽车业向自动驾驶目标迈进了关键的一步。车企急着上马的城市辅助驾驶，今年还会放鸽子吗？: 【城市高阶辅助驾驶今年能实现落地?
这些年，和红牛合作过（被红牛过）的汽车品牌，最后一个是未遂[]: 和红牛合作过(被红牛过)的汽车品牌
理想7这个颜色好看哦，看来会有很多人因为这个颜色下单: 理想7这个颜色好看哦
发布了头条文章《德国人认可的刀片电池到底有多牛？》比亚迪欧洲出圈？来看看比亚迪在国外那些事德国人认可的刀片电池到底有多牛？: 德国人认可的刀片电池到底有多牛?
长安深蓝@长安深蓝我认为的20万新能源先锋车就应该是像长安深蓝03这样的，不但外观好看颜值高，而且节能环保，续航能力强，还经济安全。长安深蓝这款车真的又酷又好看当然啦除了颜色，车的配置也很高级！外形是五门掀背轿跑，拉开车门的瞬间感觉好拉风好帅呀车内很宽敞重心低，有种开跑车的感觉它的灯光也很酷炫，太好看了[送花花][送花花]高颜值的外观，丰富的配置，舒适的行驶感受，开着轻松，坐着舒适！续航能力也是杠杠滴！当然最喜欢就是这个汽车的人工智能系统。不仅可以智能入舱，还可以远程一键备车，完全的科技与狠活爱了爱了真的是我的梦中情车呀！想想以后开出去自驾游也好方便: 20万新能源先锋车长安深蓝
宝马740新车体验感十足是目前接触过级车中科技感做的最好的一款车型了此前是8(5)相比起奔驰更显科技与年轻，没想到新款7系完成了一个质的改变也有一些不同的声音这一代有点华而不实，后排的屏幕用处不大丑是丑，但更有气势了，现在汽车设计已经到了一定的高度，进无可进。只能另辟蹊径，剑走偏锋了仁者见仁智者见智吧，级车越来越向年轻化趋势发展也证明了人们的生活条件越来越好是件好事有时候经典和科技并不冲突看以什么角度去衡量以何种心态去印证吧: 宝马740评测
从理想8开始，包括7也一样，接到过很多有意思提问，比如问8和皮卡怎么选7和牧马人4怎么选，8和坦克5007和普拉多。其实，大家对于增程车理解还是没有里程焦虑，舒适配置高长途自驾相对舒服，于是就想更多拓展它的用途，希望一定程度内替代部分越野车的功能。从使用比例来说，绝大部分用户城市用车还是9999的，你其实骨子里需要个城市车，但心又有向往感，总觉得自己偶尔会自驾出去玩。而一般情况下的（公路）自驾，越野的概率也非常低，最多也就是遇到修路改道什么的，得下个土路绕一下而已。理想这俩车空悬升起来，大差不差也能应付。所以，看到这，大家买个城市足足够了，至于是增程还是纯汽油，丰俭由己。再所以，纠结理想78和牧马人皮卡陆巡之间选择的朋友，你问问你自己，如果真是需要越野车，干点复杂的自驾或者高强度土路行驶，那你别纠结，头也别回去买越野车和皮卡。理想这俩车的性能雷达图还是很城市的，不合适兼顾越野功能。这也就是为啥，我比较看好坦克500插电混动和仰望那个四电机增程越野车（我猜是增程，不是纯电），既用享受了电机电池的各种优点，还能有硬越野车底子和性能，很明显就比理想7和8更适合干复杂环境的自驾任务了。: 增程78和牧马皮卡陆巡
刀片电池掀起海外追捧热潮，未来比亚迪必将扛起国货大旗，为中国制造再创新辉煌，让我们拭目以待！亮相即巅峰，比亚迪刀片电池，沸腾了欧洲！: 比亚迪刀片电池亮相巅峰
理想7曙光红即将发布！789我是有点傻傻分不清: 理想7曙光红即将发布!789我是有点傻傻分不清
保时捷911达喀尔话说卡宴会不会不高兴: 达喀尔话说卡宴会不会不高兴
化石能源与清洁纯电新旧交替，风云变幻的大时代大趋势下，长安一如既往维持着领先者勃发向前的势头。在崭新的新能源时代下，长安深蓝扛起了长安面向未来的大旗。重庆，赋予了长安怎样的历史情怀？长安，又赋能了深蓝怎样的前沿科技？一起来看下期视频的精彩视频吧！: 长安深蓝扛起长安面向未来的大旗
发布了头条文章《来自德国的肯定，比亚迪的刀片电池究竟有多牛？》来自德国的肯定，比亚迪的刀片电池究竟有多牛？: 德国的肯定,比亚迪的刀片电池到底有多牛?
发布了头条文章《比亚迪被德国电视台报道引发热议，刀片电池更因其安全等优势获得好评》比亚迪被德国电视台报道引发热议，刀片电池因其安全等优势获得好评: 比亚迪被德国电视台报道引发热议
直觉投票[]国产自主品牌全面转向电动化以后，你最想看哪家合资被暴揍？: 国产自主品牌全面转向电动化以后,你最想看哪家合资被暴揍?
不吹不黑的说，阿凡达2和流浪地球2看起来，和上一代1548奔驰260和10雅阁混动开起来差不多，阿凡达2的剧情和内涵那些，就一国产猛片的水平，和上一代奔驰260那光鲜的在外工业废品一样的内在机械素质实在完美呼应。更离谱的是国产猛片1个半小时就能拍完的剧情水平，它硬是拍了3个多小时，如果不是它的片名叫阿凡达，我觉得再拉一点都可以入围唐唐说电影了: 阿凡达2入围唐唐说电影
内外设计小改配置动力调整2023年内发布新款途锐谍照曝光: 新款途锐谍照曝光
朱晓亮305@朱晓亮305这位朋友的购车需求如下，亲爱的家人们给他一些好的建议或者推荐吧: 购车建议
