夕阳和宝宝[送花花]: 夕阳和宝宝[送花花]
理想7双白最后一套图来了，直接干了18张，发完收工体验方面视频里再聊吧: 理想7双白最后一套图发布
复古，还得复自己的古呀！2009年，长城发布了一台特立独行的车——酷熊。这台车方正的造型，加上小沈阳滑稽的代言，在那个年代显得特立独行。也许很多人并不知道，这台车的原型车是来自丰田专为美国年轻人所创立的新品牌——后裔。2003年，在北美发布了双子星，。而当年的老魏，特别喜欢从一些小众车型上汲取灵感，比如从五十铃中带来了哈弗，从菲亚特带来了精灵，从丰田带来了嘉誉，而在双子星中，长城为我们带来了酷熊和炫丽。可惜的是，这台经典的小盒子只卖了两年就停产了，让位给了长城2。十多年后，我们倒是可以将这台方盒子重生一下！你们觉得如果新酷熊长成这样，是不是很有复古车的味道？其实长城作为一家有情怀，有历史的车企，完全可以从自己的历史车型中找找元素，设计出更加漂亮的复古车。你们说对吧保罗@3保罗01晓彤@01晓彤: 长城特立独行的经典车,原型车来自丰田专为美国年轻人所创立的新品牌,老魏喜欢从小众车型中汲取灵感,最终让位给了新酷熊和炫丽。
谢谢霖哥极速拍档@极速拍档没送包儿送了台车真心可爱啊春风狒狒: 谢谢霖哥拍档送车
今天加完油加油员说可以免费洗车，想着可以免费洗，索性就开进来了，当我听到这种当当当的声音时瞬间就后悔了，这应该大小散的日常: 加油员建议免费洗车
有关最丑绿色车牌或在2年内取消的话题28日登上热搜。有媒体报道称，全国乘用车市场信息联席会秘书长崔东树表示，乘联会已经向国家有关部门提出了合并蓝牌绿牌的建议，并且预计未来两年就将成为现实。对此，崔东树回应记者表示我们（乘联会）提出的是同车同权。阿笨微评首先，绿牌丑不丑，这个是审美问题，因人而异，不能因为部分人认为它丑就定性为最丑绿牌，这是不科学的。我个人认为，绿牌算不上漂亮，但寓意是很美好的，识别性也很高，而且这个绿牌本身也是当初慎重甄选出来的。其次，关于合并蓝牌绿牌的传言，我认为，这应该属于误读，短期内（5年内）合并是不可能实现的，正如乘联会崔东树秘书长所言，他们提的同车同权，并不是简单的合并。对于这一点，我个人非常支持。因为，新能源绿牌只是新能源汽车发展过程之中的一枚标签，而非优惠和特权的代名词。只要能满足我们的出行需求，就没有必要考虑它到底需要挂什么样的牌照。新能源汽车: 崔东树:绿牌丑不丑是审美问题,合并蓝牌可能性不大,建议同车同权。
据说比亚迪的工程师在拆劳斯莱斯库里南会不会拆完一脸嫌弃: 比亚迪工程师不满拆劳斯莱斯库里南
极氪009撞残大巴这个事我说说我的看法，毕竟我也是个009吹大家众所周知[笑哈哈]、大巴撞完009以后前脸凹进去了，009后屁股还是平的，跟我闹呢？符合物理学吗？怕不是连环撞击以后随便停一起的吧。不要看照片觉得009后屁股有点弧度，其实是个板臀、009前脸也残了，009前面那台哈弗5似乎更硬大家都忽略了，这可有视频为证呢[笑哈哈]、其实看过视频就知道，这种速度，还是运动中的撞击，无论是后车撞009，还是009撞前面的长城，都没多大力度。这一波刷的我真是有点莫名其妙[摊手]我也成天说009这好那好，但瞎吹没意思[揣手]: 009撞残大巴事件引争议
如果有一天你拥有了它，最想带谁去兜风呢？？: 想带谁去兜风?
谁骑杜卡迪双腿弯曲着地无压力？: 骑杜卡迪无压力?
今年降价潮下，坦克出了个全年保价，300和500的价格都不会有变化: 坦克迎来保价潮
很高兴，智己能得到新华社的认可，分享几个重点1、此次挑战的是最复杂的下班晚高峰。昼夜交替，光线弱，人车非机动车混行，车流量大。2、一镜到底实拍，50分钟全程无接管。全程21公里，29个红绿灯、7次主辅路切换，覆盖苏州城区地面和高架道路，并无缝连接。3、个人印象最深刻的是自动绕行避让能力。无论是占到静止车辆绕行、行人绕行，还是错位车道线路口通过、最优车道选择都能从容避让闪躲。4、更重要的是新华社的记者老师表示一路0惊吓功能做到有很容易，而没有惊吓的，用户愿意用才是关键。5、此次智己7的，也将用于智己7。—————————————————————一镜到底！智己实测分享自新华社客户端，更多内容请下载: 智己获得新华社认可,分享了多项重点,包括最复杂的下班晚高峰和夜间人车混行,并实测了29个红绿灯,7次主辅路切换,覆盖苏州城区地面和高架道路。
就是天王老子来了，未来10年我还是会选择燃油车，别给我扯什么节能省油，谁用谁知道。: 天王老子来了,未来10年选择燃油车
这辆全球唯一的帕加尼是以一辆黄色的为基础改造而成，所搭载的升12自吸发动机，提升至760马力，0100加速约35秒，极速超过350，简直是超跑界的天花板[哇]: 全球唯一帕加尼亮相
网友到店修车，沃尔沃605，还没出质保期就来找我，感谢信任[作揖]由于已行驶至6万公里，因此需要做大保养，更换福斯1全合成机油和三滤、火花塞、刹车油，防冻液和清洗积碳，更换变速箱油，由于这款8没有油底壳，滤芯在变速箱内部，只能重力换油不能更换滤芯。由于车辆即将出质保期，保养结束后替粉丝检查一下底盘，如有问题可找4店走索赔。检查发现车况相当好，除轮胎有轻微裂纹，底盘件无老化也没有托底痕迹，胶套无开裂。清洗车辆后交车，祝用车愉快: 沃尔沃605,需要大保养,更换福斯1全合成机油和三滤、火花塞、刹车油。
支持民营企业，这两天呼声一浪高过一浪。促进民营经济发展壮大、引导民营企业参与创新正成为当前的主流。种种迹象似乎都表明，民营企业的新时代，已拉开帷幕。作为民营企业大军中的一员，我们团队也跃跃欲试。要拼经济，见客户、跑业务是工作常态，接送车也是公司的一张重要的名片。有好几回接送客户时，客户都提到我们应该搞台8，坐的舒服开的还挺快。而且团队经常长途出行，宽敞的空间、舒适的体验、大气的外观，大大提升团队的运作效率，也得到了更多合作伙伴的认可。8，可以说是一家企业正式步入正轨的象征。不止是企业，各大商业论坛峰会往往都会首选8，也足以印证这一点，并且里也只有8是真正见证了国内经济飞速发展的车型。同时，从公司资产角度来说，8优秀的保值属性也非常亮眼。中国汽车流通协会的数据显示，别克8在市场的保值率3年连续第一，也体现了市场对其的认可。今年经济要发力，关键还要看民营企业。而民营企业要发力，记得先配上一辆别克8。: 民营企业新时代拉开帷幕,旗下别克8保值率连续第一,应注重见客户、跑业务,记得先配上一辆别克8。
新能源汽车3月销量汇总，你最看好哪个？比亚迪台埃安台理想台蔚来台哪吒台深蓝8568台小鹏7002台极氪6663台零跑6172台问界3679台合创3098台: 3月新能源车销量汇总,你最看好哪一款?比亚迪、蔚来、小鹏、极氪、合创。
4228万辆！特斯拉创下新纪录今年以来多次降价。降价后，特斯拉的毛利也不低，也是大赚，国产新能源车赚吆喝不赚钱的局面何时能终结？: 特斯拉降价后仍大赚,国产新能源车能否实现盈利?
评一下上个月的数据，当然这里不包含比亚迪，比亚迪的数据太欺负人了1广汽埃安我们一直很看好，极有可能成为销量全国第二，排在比亚迪后面。我们去他们公司参观过，深入了解过他们的发展方向，广汽埃安只要不犯错误，前途较为光明。2理想和蔚来比较稳定，但小鹏应该是遇到了大问题，已经有掉队的迹象。3深蓝和极氪的数据比预估中略好，两个品牌等着月销过万稳住大局，但他们一旦过万，小鹏日子就更难了，小鹏不要哭。4除了这些车企，还有智己、哪吒等着翻牌子，新能源车还要再竞争三到五年，死一批，最后留下三到五个牌子，杀入国际市场。: 比亚迪数据欺负人,广汽埃安、理想和蔚来比较稳定,小鹏有掉队迹象。
坐一次感叹一次，丰田是怎么在卡罗拉和雷凌上设计出这么难受的后座的？又直又立又硬，人放松状态坐上去是罗锅的姿势。视野还特别压抑，前几代卡罗拉坐着可比这强太多了。这难道是车型淘汰计划吗？: 抱怨卡罗拉和雷凌设计后座,视野压抑。
布加迪它是法国跑车品牌布加迪出品的豪华超跑车。配置四涡轮增压发动机，420公里每小时，有23种颜色的选择，真的爱了爱了: 布加迪豪华超跑车,颜色选择丰富。
今年逛街看见特斯拉门店放了台，就进去参观了一下（忘记拍图，123图别人的），方向盘我就不谈了，就单说说仪表盘这事。看了之后，才发现特斯拉不给3配备仪表盘这事特别恶心，中控屏幕上永久固定一块面积显示车辆信息，可惜了这么大的屏幕，相对于25的面积被浪费。因为这些信息明明可以单独用一块小仪表盘显示，用户可以更好的利用大中控屏，比如更大的导航界面显示，同时显示导航界面和其他界面（音乐、车辆相关设置等等），前面有块仪表也会是更安全且方便的驾驶员可视角度。作为3车主，看时速、导航时眼睛总要往右靠下位置瞄，很多人说看习惯了就好，但安全与习惯怎么能相提并论，不安全就是不安全，特别是看导航时，要看的非常右，体验最佳的位置之一应该是在屏幕左侧。的中控体验就很爽，导航音乐位置随意调整，能做到这些就是因为没有那块永久占据屏幕25面积的仪表。说这些就是想指出特斯拉3没有仪表盘不合理，3没有仪表盘不实用，3没有仪表盘驾驶体验不足够安全。: 特斯拉门店展示仪表盘,但驾驶体验不足。
艹发现新问题了这刚修好的右前车窗升降的时候会出声幸亏还没走呢[裂开][裂开][裂开]现在车又给开回车间了: 右前车窗升降出声,幸亏未走。
以开发最先锋车身配色而闻名的兰博基尼，专为这款设计了这一专属漆色，这一颜色可以更好地勾勒出车身的曲线轮廓。为了得到这个特殊的哑光效果，设计师们使用了一种全新高科技工艺，在溶解金属时稀释和降低金属晶粒的可见度，赋予车身外漆一种丰富而柔滑的质地，是你的品味吗？: 兰博基尼专属漆色
北京国家发改委学术委员会: 发改委学术委员会
看来在屏幕左侧换档还需要一段时间来适应深圳彤啊彤: 适应深圳彤
大佬气质完美拿捏，通电之后的宝马设计功力依然不减: 大佬气质拿捏,宝马设计功力不减。
你认同吗？近日，清醒人王传福虚头巴脑的东西，都忽悠多少年了，有几个成了吗？我是搞战略的，我看到的比谁都清。我要看不清这公司就倒掉了，我比谁都要着急。我们几万名工程师在探索这个东西（自动驾驶）到底行不行。我们比亚迪走的每一条战略，每一条战略不都是对的吗？难道在这方面会错吗？因此的话，现在没人再提了什么无人驾驶，那都是扯淡。自动驾驶必不可少？王传福没必要，高级辅助驾驶就行了！大家怎么看？: 王传福被忽悠多少年,没人再提自动驾驶。
电动汽车的雷达有多诡异: 电动汽车雷达有多诡异
新能源绿牌或在2年内取消？多地已有所行动！网友太丑了建议取消 乘联会已经向国家有关部门提出了合并蓝牌绿牌的建议，并且预计未来两年就将成为现实。新能源绿牌或在2年内取消？多地已有所行动！网友太丑了建议取消绿牌照，也是我不喜欢新能源车的主要原因之一！天天在股市踏青，账户够绿的了，在开个绿牌照车，还有活路吗？: 新能源车绿牌或在2年内取消,多地已有所行动,网友建议取消。
中国首个属于人民的首款纯电跑车哪吒亮相光影描摹轮廓型面勾勒身姿耀目风范天生位: 首个纯电跑车亮相,光影描摹轮廓,耀目风范。
蔚来7更新了130车机系统后，又开始给自己加戏了，于是让辅助驾驶变得非常不好用，没更新同学们最好先别更新了: 蔚来7更新车机系统,辅助驾驶不好用。
眼中总要有点独特的光芒。: 眼中独特的光芒
燃油车时代有鲨鱼鳍天线，新能源时代有假激光雷达！: 燃油车、新能源车有假激光雷达
韩总去极氪试驾会了，刚才忽然给我发信息，你们说她这是不是跟我搁这铺垫呢？跟我玩儿聊斋呢？她这个微博可是没发几天啊！: 极氪试驾会遭质疑
比亚迪广汽抛弃华为是必然比亚迪自动驾驶选择了英伟达，广汽埃安放弃了华为。这是怎么啦，特别是埃安马上要装机了，放弃和华为合作，显得很不正常。但是你看看现在自动驾驶和车机的主流就会觉得这一切都很正常。特斯拉早期使用3芯片，后来用英伟达，30开始使用自研芯片，现在40依然是用自研芯片。也曾经是自动驾驶的大拿，是谷歌投入千亿的重要项目。还有华为寒武纪地平线黑芝麻百度众多的自动驾驶公司。随着英伟达和高通切入智能驾驶，一切都改变了，智能汽车进入了芯片大佬的时代。智能驾驶公司都将进入历史的垃圾堆。，曾经是自动驾驶的先驱，华为地平线百度这些是后起之秀。他们的目标是为车厂赋能，不客气的说是要把汽车公司的灵魂掌握在自己手中。他们投入了大量的资金，就等待着收割。曾经所有的车厂都是他们的客户，看起来即将成为智能汽车的王者。他们大包大揽，从芯片到算法到数据一包到底。整个系统是封闭的，厂家任何适应性改变都需要他们的同意和参与，车厂处于极其被动的局面。英伟达和高通这些芯片巨头一改这种一站式服务，凭借在芯片上的巨大优势，开放包容的态度。受到车厂的热烈欢迎。给你提供芯片和生态，子项目开放，各个车厂可以根据自己的需要开发。在芯片上这些自动驾驶公司根本不可能是英伟达高通的对手。他们也不想靠智能驾驶全生态赚钱。卖芯片，给你算法其它你爱咋地咋地。前年开始自动驾驶公司开始失城丢地，，股价暴跌亏损累累，中国也没有好到哪里去。百度华为地平线投入巨资却没有一个有赚钱的希望。比亚迪抛弃华为，埃安和华为关系降格他们无一例外都将投入英伟达和高通的怀抱。全球已有超过25家主机厂与英伟达就达成合作，其中包括蔚来、小鹏、理想、威马、上汽智己、汽车、法拉第未来、、、华人运通等造车新势力比亚迪、奔驰、捷豹路虎、沃尔沃、现代、奥迪、路特斯即使是自动驾驶公司德赛西威、百度、通用、谷歌、图森未来、小马智行、亚马逊、滴滴、沃尔沃商用车、、智加科技、、文远知行、元戎启行等自动驾驶公司也将基于英伟达开发各自的方案。智能座舱芯片高通则是一统天下。据统计近期新发布的车型中，智能座舱几乎都搭载了高通8155芯片，包括奔驰、奥迪、本田、吉利、长城、比亚迪、小鹏等在内的国内外主流车企中的约30款车型均已宣布搭载骁龙汽车数字座舱平台。归尘土归土，英伟达将统治自动驾驶芯片和生态。高通将统治智能座舱芯片。只有特斯拉一个独苗自研芯片特立独行，不过走得也很累。英伟达高通能垄断智能汽车无非是算力强大，生态系统完备，系统开放价格还便宜。自动驾驶公司这些先驱无一例外会被拍死在沙滩上成为先烈。弯道超车，超了个寂寞。灵魂还是牢牢掌握在别人手里。近来华为再次宣布五年内不造车，余承东黯然伤魂。华为还是很能打的，但大势如此。英伟达高通优势太大，这些车厂的选择是历史必然。你的性能没有优势，价格不便宜，系统不开放。凭什么选择你，难道是情怀？弯道超车容易翻车。根基不牢地动山摇。机床不行不要妄论机械如何牛逼，芯片不行电子行业必然落后。这说这说那领先的都是吹牛逼。: 比亚迪、华为、英伟达等自动驾驶公司联合开发芯片和生态系统,吸引众多车厂参与。
没有手机软件赋能的汽车厂商，都将逐渐掉队: 手机软件导致汽车厂商掉队
比亚迪3已经抵达日本等待入关。: 比亚迪3抵达日本等待入关
作为一个女司机，我是真的很爱开车，喜欢那种自己的命运交在自己手里的感觉有车后最大的三点幸福带娃神器带孩子出门，让他坐在安全座椅上，什么都比不了！方便不管是接送孩子上学，还是出去工作、逛街，自己有车最便捷啦！安全打车的话真的是凭运气，有的会碰见那种车上异味很大，或者上一个乘客刚抽完烟，或者司机开车非常不专心的，甚至有一次还碰见一个司机边刷视频边开车，感觉好可怕[裂开]: 爱开车爱带娃,安全打车凭运气。
手机发布会现场居然看到领克08的真车上台。硬朗的线条，曼哈卡顿调音，智能座舱，92英寸，车机屏幕154英寸25超高清分辨率，并且是首款搭载魅族车机系统的车型。车机魅族手机互联方面有无感连接、无界桌面、小窗展示、跨端可见即可说、应用接力、硬件共享摄像头手柄、手机辅助等功能车机方面有如然引擎、多形态桌面切换、节日壁纸、动效、手势操作、一镜到底、、如然空调、语音助手等功能。大家期待吗？上海梅赛德斯奔驰文化中心: 领克08车机搭载魅族车机,手机互联有无感连接、无界桌面、多形态桌面、手势操作等功能,期待吗?
虽然暂时还没有任何要抵澳的消息，但澳门财政局网站出现了这车的税务价格，价税总计122亿澳门币，超1亿人民币，相当于3辆，还是蛮夸张的: 澳门财政局网站出现122亿澳门币的车税价格
华为这句话说的很重，问界这就算废了。: 华为说重,问界就算废。
新能源汽车行业到底有多卷: 能源汽车行业乱象调查
第一次见到带编制的36亢岳@亢岳: 见到带编制的36亢岳
有些车注定只属于少数人终极版限量150台为少数人独享4月1日早9点，超限登场更多详情，请速联系当地伙伴: 终极版限量150台,独享4月1日早9点。
是你目前最可靠的司机！: 寻求最可靠的司机
你受得了你的车有一个山寨中控台吗？我受不了。左飞凡7。右奔驰。: 受不了山寨中控台,左飞凡7和奔驰。
把电池跑干了，提车的时候大概90的电，刚刚跑到10以下了，6天时间跑了436公里，表显还剩43公里。这么推测的话，我这辆双电机版在北京这个季节用我这只肉脚踩，实际续航大概550公里左右中午准备找个超充给它充满，看看满电表显示多少今天早上能耗贼高，可能是因为目的地旁边有个超充，他导航路径规划先去充电，自动电池预热了。不知道为啥这车预热动静贼大，嗡嗡的声音也大，而且整个车都在震: 提车时90的电,6天跑436公里,表显还剩43公里。
提新车，美滋滋在陈庚@陈庚的忽悠下，老凯捷变身混动新凯捷: 美滋滋忽悠老凯捷混动新凯捷
老车迷可能都知道，12代皇冠在性能方面，能把同时期的奥迪56，甚至66都能打趴下。也正是因为奥迪的二流，导致当年奥迪可以来中国谈成合作。也正是因为中国市场的帮助，5678，20多年上行经济，带动了奥迪成为可以与相提并论的品牌。也正是因为这样的增长，让捷豹路虎，英菲尼迪，凯迪拉克心生羡慕。但这条路并不好走。5的率先国产，宝马对宁德持续地支持，的合资和国产，其实替代了奥迪当年坐的事情。奔驰就不谈了，民营资本进驻。奥迪在干啥？奥迪在折腾8，7，6，还有那个长得特别丑的电动车，还有那个奇怪的8霍希。皮老爷子走了，这企业的魂就走了，所以下坡路也就难以避免。: 奥迪的品牌发展之路并不好走,5的率先国产和宝马支持宁德、宝马支持合资和国产,奥迪在折腾8,7,6还有长得特别丑的电动车,下坡路难以避免。
我最近有机会试驾——或者算试乘了——的自动驾驶汽车。这真是一次疯狂之旅。: 试驾自动驾驶汽车,疯狂之旅。
福特40生来就是和法拉利一决高下它价值人民币2550万元左右。提速时间0——100公里35秒，极速390公里小时，轮胎安全负荷在370公里小时堪称出笼猛兽: 价值2550万元福特40提速速度惊人
深圳丶钎城@深圳丶钎城你是一只小猪 当弹幕都在刷你是一只小猪这不是的梗嘛这是梗你是一只小猪好可爱的小猪: 深圳丶钎城是一只小猪
陈正出来吃个饭偶遇三个粉丝被抓住拍照了: 陈正被三个粉丝抓住拍照
常规赛第二轮卡位赛济南侠32广州 广州@广州拿下第五局比赛！[星星]为广州丶清清@广州丶清清廉颇！三分半双方打野河道发生碰撞，广州丶不然@广州丶不然露娜待赵怀真位移交完再展开反打，拿下一血。七分钟广州主动进红区，虽然鲁班大师拉回多人，但广州丶清清@广州丶清清廉颇大招击飞对方射辅，击杀鲁班七号，侠梓轩@侠梓轩夏洛特绕后只能收下孙膑，双方一换一。十一分半，双方打野一换一后，济南侠试图前压，但广州把握机会反打，野区击杀对方三人，十三分钟广州破掉对方全部外塔。十五分二十，广州破掉下路高地。十七分钟高地前，广州丶九尾@广州丶九尾弈星大招框住五人，配合清清廉颇将对方击飞，广州一波完美团战团灭对手，击破水晶，再追一分！: 广州VS广州,卡位赛第五局比赛。
孙策，他好像知道自己很帅实在是被他迷得有点头脑不清醒了，无视汇率勇敢氪金: 孙策迷醒,无视汇率勇敢氪金。
两天没开屏了[欢乐熊出没]回来试试我的小帽子，继续我的减肥大业: 开屏后继续减肥
鹅圈日记 兄弟们的赛后聚餐时间到了！有些鹅仔这顿吃完还有下一场呢大鹅: 兄弟赛后聚餐,鹅圈日记
常规赛第三轮赛程公布！[星星]比赛时间4月8日4月23日，共三周首周比赛日为周六至周日，后两周比赛日为周三到周日[星星]本轮比赛为、组两组组内单循环，5赛制，分组情况见赛程图最上[星星]常规赛第三轮门票按周售卖，首周和第二周比赛的门票将于4月7日（明日）中午1200开售，第三周门票将于4月14日中午1200开售，详情见图二。常规赛第三轮的比赛将在本周正式打响，向季后赛和胜者组进发，我们一起拭目以待！完整赛程见图一，期待大家在第三轮比赛中的表现: 常规赛第三轮赛程公布,第三周门票即将开售。
妃咲冷艳的蓝蝶终将划破夜空出镜绮太郎@绮太郎拍摄风起@风起协力小汐不发芽@小汐不发芽@热带渔@热带渔印之心专门店@印之心专门店: 蓝蝶划破夜空出镜,绮太郎、风起协力、小汐、印之心专门店参与拍摄。
现场致返图 南京无畏@南京无畏自信、敢打、勇往直前、无畏无惧，下一局也要拿下[赢牛奶]: 南京无畏现场致返图,自信敢打,下一局也要拿下[赢牛奶]
有瓜友问我季后赛的流程（以夏季赛为例）赛制七局四胜制（7），全局巅峰对决第三轮结束后，14和23进入胜者组第一轮14和23进入败者组第一轮: 季后赛流程:七局四胜制,全局巅峰对决,胜者组第一轮。
劝你善良不要太过分了，尾少怎么你了: 劝你善良不要过分
陈正第三轮目标打穿组[作揖]: 正正第三轮目标打穿组
常规赛第二轮卡位赛南京久竞12杭州大鹅 南京久竞@南京久竞拿下第三局比赛！[星星]为南京无畏@南京无畏宫本武藏开局三分半杭州大鹅四人包上，大鹅早点@大鹅早点王昭君先击杀吕布拿到一血，陈正@陈正兰陵王二连击破，一波零换三帮助队伍建立前期优势四分钟杭州大鹅上路二塔截杀吕布，大鹅赤辰@大鹅赤辰赵怀真拿到人头，南京久酷@南京久酷牛魔带走夏洛特略作止损六分钟南京久竞反进蓝区，南京誓约@南京誓约吕布二连击破双杀边野，帮助队伍打回局面八分钟南京傲寒@南京傲寒蒙犽击杀兰陵王，南京久竞持续反野，但吕布被大鹅绝意@大鹅绝意狄仁杰点死九分四十秒兰陵王隐身被南京无畏@南京无畏宫本武藏找出击杀，趁对手少人稳控暗影主宰。十三分钟无畏宫本武藏下路一打二先杀夏洛特，等到队友支援再围包兰陵王二连击破，一波推进压破下路高地十四分钟久酷牛魔配合誓约吕布大招逼走位置再破中路高地，南京久竞优势持续扩大，十五分钟拔完三高十五分十五秒南京久竞先杀清线点王昭君，久酷牛魔二连击破，零换四之后南京久竞一波点破水晶，扳回一局！: 南京久竞拿下第三局比赛,吕布、大鹅、陈正兰陵王二连击破,南京久竞优势持续扩大。
首次登场就帮助队伍扳回关键一局，南京誓约@南京誓约弟弟激动到喝水的手都在抖: 南京誓约助队伍扳回关键一局
分享细心的兮瓜，拍摄的气球是跟公园里的小朋友借的，兮瓜拿到后一直紧紧攥着，后来帮他绑住了才放心。北京的训练机: 兮瓜拍摄的气球,帮他绑住。
2023春季赛卡位赛 南京久竞杭州大鹅7第6局如下: 南京久竞杭州大鹅7赛程公布
超级小桀的粉丝真的很贴心: 小小桀粉丝贴心
张角尊贵的组粉丝，大家好！！杭州大鹅小崽@杭州大鹅小崽大鹅赤辰@大鹅赤辰大鹅绝意@大鹅绝意大鹅小落@大鹅小落大鹅早点@大鹅早点陈正@陈正今天是一场酣畅淋漓的战斗！！: 组图:杭州大鹅小崽与大鹅赤辰、大鹅绝意和陈正,一场酣畅淋漓的战斗。
锅盔@锅盔我相信每个人都有失误的时候，可以说他打得不好，做的不好可以喷，但希望不要再以这种方式去诋毁一个选手对职业赛场的态度了锅盔@锅盔他真的也有一直在成长，而且过两天还有比赛要打，这种热搜真的好吗*战败后导不愧是你 登上热搜: 锅盔呼吁不要再诋毁选手对职业赛场的态度。
2023春季赛卡位赛赛果 南京久竞杭州大鹅7第6局目前比分333分钟，一血爆发5分钟，我方澜拔下敌方上路高地7分钟，我方拿下暴君9分钟，我方澜先手开团，随后援军赶到，蒙恬开大成功击杀敌方鲁班七号10分钟，我方先手开团，澜绕后扑进战场成功击杀敌方橘右京，公孙离在前方战场在队友配合下收割敌方鲁班七号12分钟，我方蒙恬一闪开到敌方鲁班七号，随后太乙真人跟上控制，公孙离紧跟输出，貂蝉2技能连续消耗，成功团灭敌方，顺势击破敌方水晶。巅峰对决！！兄弟们加油，无敌！！！: 南京久竞杭州大鹅7赛果,我方澜成功击破敌方水晶。
数不清楚这是第几次切的镜头了[哆啦梦害怕]: 期待第几次切的镜头
陈正@陈正和是迷风花@是迷风花[喵喵]互损 迷风花你别明天卡位赛打不进去你别今天放假了你跟我说这话迷风花我应该放不了吧: 陈正和迷风花互损
明日方舟惊霆无声 过场图: 明日方舟惊霆过场
以以前都是娘亲帮我，从来没有别人碰过我的头发。——————————————摸（)鱼一个孙策扎小辫子我不信每天早上是小狗自己编的[开学季]: 开学季,小狗自编发型。
风箫刚刚直播打的确实不好，不用禁言啥的，没事: 箫箫直播打的不好
刀口分享等笑影来了还有吃的吗？一诺@一诺上海爱思@上海爱思陈正@陈正: 笑影来了,还有吃的吗?一诺、上海爱思、陈正分享笑影。
网友分享选手巅峰实力排名，对此你们都有什么想说的？: 分享选手实力排名,引疑问。
现场致直拍 一诺@一诺上海爱思@上海爱思抓住两位特别的观众[赢牛奶]: 一诺上海爱思现场直拍
每周三四五晚抖音戴士直播间都给我来看大师赛！: 观看抖音大师赛
明日预测31败者组第一轮32胜者组决赛31败者组决赛30决赛: 明日预测31败者组决赛
昨天在乌兰巴托的队员们进行了媒体日的拍摄活动，随后在酒店进行了一些赛前准备和训练，今天下午，让我们一起为在的首战加油！[拳头]: 乌兰巴托队员赛前准备训练,为首战加油。
一诺随机找三位职业选手请我吃饭: 诺诺邀请职业选手吃饭
丛林肉搏型[666]: 丛林肉搏型
常规赛第三轮组及季后赛！今日，济南侠在常规赛第二轮卡位赛中获胜后，成功锁定2023春季赛常规赛第三轮组及季后赛席位！面对挑战绝不妥协，少年侠气可度春风！鲜衣怒马正当时，意气风发看山河，期待济南侠第三轮捷报频传，胜利相伴！: 济南侠成功锁定季后赛席位,期待第三轮捷报频传。
没关系，从组再杀回来！加油南京无畏@南京无畏！: 杀回南京无畏
为了省钱坐大巴让选手晕车没状态，这才是导致掉重要原因: 为让选手晕车,省钱坐大巴
讨厌没有边界感的评论: 讨厌没有边界感的评论
组续费成功，第三轮目标暴打猫将军笑影: 暴打猫将军续费成功
誓约形容自己的十六岁，热血，清华，大显身手，他想了想又加上了一个词，宝宝锁。誓约形容自己的十八岁，轮换，卡位，临危受命，他想了想又加上了一个词，巅峰对决。: 誓约形容自己十六岁,轮换卡位,巅峰对决。
如果用66彩虹币作为补偿的话我可以当做看不见进不去的蛋评论区: 用66彩虹币作补偿,可成评论区
公告遗憾地通知大家，选手因身体不适，在经过尝试后实在无法继续坚持比赛，已由医疗团队介入进行后续治疗，现将由教练4替补上场，其余队员也有轻微的身体不适，但仍能继续坚持比赛。虽然面对现场诸多突发情况，我们仍将全力以赴，放手一搏。请大家为的小伙子们加油！: 选手因身体原因无法坚持比赛,将由医疗团队后续治疗,教练4替补上场。
网友光速出图[笑哈哈]: 光速出图笑哈哈
双方巅峰对决阵容[中国赞]南京久竞吕布，宫本武藏，不知火舞，公孙离，牛魔[中国赞]杭州大鹅夏洛特，赵怀真，沈梦溪，公孙离，苏烈2023春季赛首个巅峰对决一触即发，谁将争下第三轮组的名额？让我们拭目以待！: 南京与吕布巅峰对决,谁将争第三轮组?
2023春季赛卡位赛赛后返图 不惧怕艰难阻挡，心存想要去的远方。: 2023卡位赛返图
久违的热血年轻人的世界要来了！求胜的信念出色的实力强大的心脏恭喜！: 信念强大的心脏,实力强大的年轻人。
肉糕双寄，今天流量队一家亲，三家齐聚组[干饭人]: 流量队一家亲
这手千珏还是绝活。关键时刻的一些操作太匪夷所思了。今天的完全压制了红米，状态也非常好。输的挺莫名其妙的，看着又遗憾又困惑。: 千珏关键时刻操作匪夷所思
刀口分享太仓小分队集合！你们是懂拍照的[许愿星]一诺@一诺陈正@陈正上海爱思@上海爱思侠笑影@侠笑影: 分享太仓小分队拍照
某这节目真吓人啊，比饭堂能开十倍这节目我感觉是第一期也是最后一期了个人看法，真想出成绩要做的第一件事是要么降薪要么卖了他的薪资已经是最大的噩梦了，完全打破队伍平衡，任何团队项目这都是大忌。而且更可怕的是他现在的实力是完全匹配不上他的薪水的。以前有左手369的廉价合同给他兜着，一到期两兄弟都跑路了，根本没有薪资空间引援也留不住人，高的薪水本身也对队伍不利，要么教练能压住他让他直正能以自作则，不然像什么要求其他人努力，人家也有理中说的，他拿多少钱和拿多少钱，凭什么要我拼命: 主持人谈降薪卖掉薪资,打破队伍平衡,实力匹配不上他的薪水。
侠妹赛后日记 乘风可是光灭了那我们自己给自己打光！所以说，没有光也没关系——比追逐光更好的是，成为照亮自己的光。山高路远，吹不散我指尖的玫瑰，梦的份量虽重，也压不住我乘的风。: 侠妹赛后日记:追逐光照亮自己,梦的份量压不住我乘的风。
